CLOCK,OPEN,HIGH,LOW,CLOSE
2010-04-19,3396.0,3398.0,3166.2,3197.4
2010-04-20,3209.2,3240.0,3168.8,3214.6
2010-04-21,3215.0,3281.2,3208.0,3267.2
2010-04-22,3260.2,3274.4,3211.0,3236.2
2010-04-23,3241.0,3266.0,3221.0,3221.2
2010-04-26,3243.0,3252.0,3211.8,3219.6
2010-04-27,3201.2,3205.0,3107.6,3138.8
2010-04-28,3101.6,3142.6,3094.2,3129.0
2010-04-29,3141.0,3157.6,3082.2,3083.8
2010-04-30,3103.0,3119.6,3043.0,3107.0
2010-05-04,3079.8,3094.4,3060.8,3076.4
2010-05-05,3046.4,3087.0,3031.0,3076.4
2010-05-06,3078.6,3083.4,2953.6,2967.4
2010-05-07,2928.0,2959.8,2862.2,2897.6
2010-05-10,2910.0,2931.0,2870.0,2918.0
2010-05-11,2949.0,2957.8,2797.2,2801.6
2010-05-12,2809.0,2855.0,2782.0,2836.2
2010-05-13,2847.8,2915.6,2823.0,2894.6
2010-05-14,2880.0,2894.8,2850.4,2862.6
2010-05-17,2840.0,2840.2,2708.0,2719.0
2010-05-18,2711.8,2848.0,2708.4,2810.4
2010-05-19,2779.2,2859.0,2734.2,2784.8
2010-05-20,2801.0,2844.8,2742.2,2763.2
2010-05-21,2702.0,2802.8,2677.0,2801.0
2010-05-24,2814.0,2933.4,2808.0,2902.0
2010-05-25,2880.0,2889.2,2811.0,2813.2
2010-05-26,2846.2,2878.8,2817.6,2839.6
2010-05-27,2825.0,2909.8,2790.0,2901.4
2010-05-28,2930.0,2942.0,2853.0,2865.2
2010-05-31,2850.0,2898.8,2786.2,2792.0
2010-06-01,2780.0,2820.6,2732.0,2762.0
2010-06-02,2758.0,2781.4,2718.2,2776.4
2010-06-03,2799.8,2807.0,2741.0,2748.0
2010-06-04,2740.0,2767.8,2722.2,2761.0
2010-06-07,2700.0,2718.0,2680.0,2706.2
2010-06-08,2709.8,2726.0,2683.0,2724.4
2010-06-09,2720.4,2808.0,2700.4,2788.8
2010-06-10,2776.0,2791.0,2763.0,2769.6
2010-06-11,2788.0,2796.8,2765.0,2765.8
2010-06-17,2815.0,2816.0,2760.0,2762.6
2010-06-18,2762.4,2779.0,2705.8,2718.2
2010-06-21,2749.2,2816.6,2718.0,2804.8
2010-06-22,2795.6,2815.0,2793.2,2797.6
2010-06-23,2785.0,2801.6,2743.0,2765.2
2010-06-24,2771.0,2810.0,2750.0,2771.0
2010-06-25,2759.0,2772.8,2736.0,2753.8
2010-06-28,2751.6,2763.8,2731.4,2741.6
2010-06-29,2741.6,2746.8,2598.4,2600.4
2010-06-30,2580.0,2593.0,2563.0,2579.0
2010-07-01,2577.8,2584.6,2535.6,2545.2
2010-07-02,2550.0,2565.0,2478.8,2546.0
2010-07-05,2535.0,2549.6,2479.6,2530.6
2010-07-06,2521.4,2585.0,2511.2,2564.6
2010-07-07,2558.0,2582.0,2546.2,2568.4
2010-07-08,2591.0,2599.4,2562.0,2569.0
2010-07-09,2573.2,2668.0,2563.0,2650.0
2010-07-12,2652.0,2693.0,2647.2,2660.6
2010-07-13,2651.0,2653.0,2618.6,2626.0
2010-07-14,2640.0,2679.2,2630.0,2647.0
2010-07-15,2650.0,2738.0,2608.0,2610.8
2010-07-16,2613.0,2629.8,2588.0,2620.6
2010-07-19,2600.2,2715.2,2593.6,2697.6
2010-07-20,2702.0,2761.0,2700.4,2746.0
2010-07-21,2749.0,2758.4,2733.8,2744.4
2010-07-22,2740.0,2785.6,2736.2,2784.4
2010-07-23,2790.0,2800.8,2765.2,2783.6
2010-07-26,2792.0,2803.2,2769.2,2796.8
2010-07-27,2797.8,2799.8,2773.6,2778.0
2010-07-28,2780.2,2888.6,2775.2,2887.4
2010-07-29,2888.0,2896.0,2862.8,2876.8
2010-07-30,2873.0,2880.6,2855.2,2871.4
2010-08-02,2888.2,2950.8,2880.2,2926.4
2010-08-03,2928.0,2935.0,2849.0,2856.8
2010-08-04,2859.8,2892.0,2835.0,2873.8
2010-08-05,2872.8,2880.6,2821.8,2846.4
2010-08-06,2850.0,2923.6,2832.0,2920.0
2010-08-09,2917.0,2932.0,2891.4,2913.0
2010-08-10,2913.2,2920.6,2827.8,2837.0
2010-08-11,2839.0,2873.0,2825.0,2839.4
2010-08-12,2822.0,2868.8,2810.0,2826.8
2010-08-13,2826.0,2862.8,2810.2,2855.0
2010-08-16,2849.0,2943.0,2843.6,2927.6
2010-08-17,2933.0,2961.8,2928.8,2947.0
2010-08-18,2968.6,2988.4,2947.4,2962.2
2010-08-19,2965.0,3016.0,2952.2,2981.6
2010-08-20,2971.2,2979.6,2911.0,2921.8
2010-08-23,2920.6,2938.0,2896.4,2905.6
2010-08-24,2898.6,2958.8,2875.4,2914.0
2010-08-25,2911.0,2922.0,2852.8,2856.4
2010-08-26,2889.8,2894.0,2848.0,2865.8
2010-08-27,2862.0,2875.0,2848.2,2872.6
2010-08-30,2885.0,2948.8,2885.0,2930.2
2010-08-31,2918.0,2922.0,2903.0,2910.4
2010-09-01,2925.0,2956.2,2871.6,2890.2
2010-09-02,2920.0,2949.2,2912.2,2929.2
2010-09-03,2933.0,2939.6,2901.4,2933.0
2010-09-06,2948.0,2993.6,2948.0,2992.2
2010-09-07,2990.0,2998.0,2968.8,2996.6
2010-09-08,2987.0,2998.6,2972.0,2995.2
2010-09-09,3004.0,3006.8,2935.6,2947.6
2010-09-10,2955.0,2956.0,2914.0,2940.6
2010-09-13,2952.0,2983.8,2935.6,2967.4
2010-09-14,2969.8,2995.0,2956.0,2966.8
2010-09-15,2968.8,2972.6,2916.4,2920.0
2010-09-16,2935.0,2936.0,2846.8,2877.8
2010-09-17,2879.6,2889.0,2868.0,2878.8
2010-09-20,2881.0,2892.0,2848.0,2873.0
2010-09-21,2881.0,2886.8,2860.2,2871.4
2010-09-27,2882.2,2914.8,2879.8,2904.0
2010-09-28,2900.0,2905.4,2889.4,2891.4
2010-09-29,2893.4,2912.0,2881.4,2894.2
2010-09-30,2880.0,2955.0,2871.6,2953.4
2010-10-08,2972.6,3073.8,2966.4,3054.2
2010-10-11,3075.0,3162.4,3075.0,3137.6
2010-10-12,3124.4,3164.2,3123.0,3154.6
2010-10-13,3168.0,3208.8,3161.0,3206.8
2010-10-14,3242.4,3272.0,3233.2,3250.0
2010-10-15,3230.0,3394.8,3228.0,3392.0
2010-10-18,3390.0,3421.8,3324.2,3329.4
2010-10-19,3356.6,3434.4,3327.6,3423.8
2010-10-20,3392.6,3513.2,3377.0,3458.2
2010-10-21,3468.8,3492.8,3406.8,3448.8
2010-10-22,3455.6,3499.0,3426.8,3465.4
2010-10-25,3485.0,3608.0,3460.0,3606.0
2010-10-26,3608.2,3618.0,3521.0,3558.2
2010-10-27,3562.8,3606.2,3473.4,3488.0
2010-10-28,3496.0,3537.8,3486.2,3513.8
2010-10-29,3492.4,3498.0,3401.6,3420.0
2010-11-01,3449.8,3576.0,3443.2,3555.2
2010-11-02,3559.4,3587.8,3498.2,3500.4
2010-11-03,3533.0,3534.4,3451.0,3472.2
2010-11-04,3487.6,3538.0,3472.6,3524.8
2010-11-05,3569.0,3630.0,3563.4,3578.0
2010-11-08,3595.0,3595.8,3557.0,3579.6
2010-11-09,3581.6,3581.6,3528.2,3545.4
2010-11-10,3542.0,3542.0,3489.0,3525.8
2010-11-11,3575.0,3664.2,3557.0,3573.4
2010-11-12,3529.0,3563.6,3307.6,3342.4
2010-11-15,3366.0,3385.0,3323.4,3352.8
2010-11-16,3349.0,3357.8,3191.0,3211.2
2010-11-17,3173.6,3230.0,3142.4,3156.0
2010-11-18,3181.2,3214.6,3155.6,3190.4
2010-11-19,3210.0,3252.2,3083.4,3244.0
2010-11-22,3219.8,3238.6,3165.0,3189.0
2010-11-23,3180.0,3181.6,3065.0,3121.4
2010-11-24,3110.4,3220.4,3105.2,3197.4
2010-11-25,3212.0,3245.0,3186.0,3227.6
2010-11-26,3229.8,3242.0,3175.0,3213.0
2010-11-29,3207.6,3238.0,3170.2,3212.0
2010-11-30,3210.4,3222.0,3077.8,3153.2
2010-12-01,3153.4,3166.6,3126.6,3145.6
2010-12-02,3185.0,3220.0,3167.8,3167.8
2010-12-03,3179.8,3190.4,3138.2,3175.0
2010-12-06,3189.0,3207.2,3151.0,3171.0
2010-12-07,3156.2,3243.0,3115.2,3221.8
2010-12-08,3200.0,3228.8,3157.2,3159.6
2010-12-09,3173.0,3184.0,3126.2,3139.8
2010-12-10,3130.2,3199.0,3118.4,3171.6
2010-12-13,3220.0,3283.6,3191.0,3275.6
2010-12-14,3273.0,3292.0,3269.0,3277.8
2010-12-15,3317.4,3330.0,3278.2,3283.0
2010-12-16,3280.0,3308.0,3261.2,3264.2
2010-12-17,3279.0,3285.0,3255.0,3281.0
