CLOCK,OPEN,HIGH,LOW,CLOSE
2015-04-17,3303.6,3341.6,3238.0,3254.0
2015-04-20,3258.0,3315.0,3143.6,3146.8
2015-04-21,3176.8,3242.2,3153.0,3234.0
2015-04-22,3250.0,3333.2,3229.8,3308.0
2015-04-23,3318.6,3348.2,3253.4,3267.8
2015-04-24,3248.8,3267.8,3170.0,3233.0
2015-04-27,3260.0,3358.0,3257.8,3357.6
2015-04-28,3339.0,3376.0,3265.0,3286.8
2015-04-29,3282.0,3325.6,3261.0,3295.2
2015-04-30,3315.2,3331.2,3247.2,3269.4
2015-05-04,3295.8,3301.8,3225.8,3273.2
2015-05-05,3279.6,3281.6,3141.2,3163.0
2015-05-06,3171.2,3257.4,3116.0,3153.0
2015-05-07,3159.6,3170.0,3103.0,3111.2
2015-05-08,3131.0,3149.0,3051.2,3099.8
2015-05-11,3112.0,3170.4,3078.0,3160.0
2015-05-12,3151.0,3194.6,3138.0,3175.0
2015-05-13,3200.0,3204.8,3112.4,3125.4
2015-05-14,3148.0,3165.0,3095.6,3113.4
2015-05-15,3115.2,3129.8,3021.0,3041.4
2015-05-18,3033.6,3049.0,2962.0,2969.4
2015-05-19,2973.4,3145.6,2971.2,3143.0
2015-05-20,3163.0,3217.0,3102.2,3145.2
2015-05-21,3157.0,3200.2,3139.8,3191.4
2015-05-22,3200.0,3310.0,3194.0,3303.0
2015-05-25,3298.6,3435.4,3280.0,3413.6
2015-05-26,3426.0,3458.0,3377.8,3417.8
2015-05-27,3453.8,3507.0,3351.8,3396.8
2015-05-28,3411.6,3419.0,3121.2,3164.6
2015-05-29,3179.4,3194.8,3060.6,3118.6
2015-06-01,3100.0,3340.4,3086.6,3336.0
2015-06-02,3340.0,3349.2,3220.4,3295.6
2015-06-03,3296.6,3336.0,3210.2,3244.8
2015-06-04,3258.8,3395.8,3021.2,3373.2
2015-06-05,3369.0,3426.2,3203.0,3304.8
2015-06-08,3315.0,3543.0,3285.0,3535.0
2015-06-09,3539.2,3565.0,3385.0,3415.8
2015-06-10,3399.0,3445.8,3351.2,3365.0
2015-06-11,3381.8,3415.0,3326.6,3361.0
2015-06-12,3373.2,3408.0,3330.0,3405.2
2015-06-15,3395.6,3417.4,3246.6,3263.8
2015-06-16,3264.8,3293.0,3153.2,3193.4
2015-06-17,3231.0,3233.6,3155.2,3205.4
2015-06-18,3223.0,3223.2,3083.8,3103.6
2015-06-19,3099.8,3106.8,2804.0,2860.0
2015-06-23,2888.6,3038.8,2818.0,2982.6
2015-06-24,2998.8,3058.0,2965.0,3044.2
2015-06-25,3080.0,3097.4,2906.6,2919.2
2015-06-26,2906.0,2968.8,2666.2,2690.0
2015-06-29,2790.0,2836.2,2473.0,2654.8
2015-06-30,2715.2,2886.2,2631.2,2847.8
2015-07-01,2847.0,2878.2,2629.6,2696.2
2015-07-02,2744.8,2814.4,2605.0,2740.4
2015-07-03,2725.0,2760.0,2518.4,2596.0
2015-07-06,2850.0,2870.0,2633.0,2756.8
2015-07-07,2737.0,2826.0,2677.0,2747.0
2015-07-08,2650.0,3055.8,2500.2,2500.2
2015-07-09,2405.2,2751.4,2355.2,2751.4
2015-07-10,2739.8,3020.0,2700.0,2853.0
2015-07-13,2839.0,2892.0,2791.0,2799.0
2015-07-14,2814.0,2814.4,2646.0,2712.6
2015-07-15,2711.8,2734.0,2623.0,2708.0
2015-07-16,2609.8,2711.8,2566.2,2692.4
2015-07-17,2694.0,2816.0,2674.4,2742.0
2015-07-20,2747.2,2763.0,2641.2,2690.4
2015-07-21,2684.0,2711.0,2624.6,2666.0
2015-07-22,2660.0,2662.0,2591.2,2632.6
2015-07-23,2627.0,2762.0,2622.6,2745.8
2015-07-24,2743.6,2754.4,2642.0,2666.2
2015-07-27,2660.6,2661.0,2403.2,2435.0
2015-07-28,2411.0,2487.4,2380.2,2422.4
2015-07-29,2450.8,2487.0,2402.0,2478.4
2015-07-30,2478.6,2487.2,2360.0,2410.4
2015-07-31,2412.6,2470.0,2363.2,2412.2
2015-08-03,2398.0,2409.4,2347.0,2405.2
2015-08-04,2390.4,2507.6,2390.4,2483.6
2015-08-05,2486.0,2487.6,2423.0,2448.8
2015-08-06,2430.0,2484.8,2404.8,2439.6
2015-08-07,2431.0,2519.8,2431.0,2464.8
2015-08-10,2472.2,2608.0,2472.2,2575.4
2015-08-11,2585.2,2594.6,2548.8,2562.4
2015-08-12,2554.0,2589.0,2530.0,2548.0
2015-08-13,2555.2,2582.0,2510.6,2553.2
2015-08-14,2558.2,2574.2,2530.2,2549.2
2015-08-17,2546.6,2546.6,2467.2,2502.6
2015-08-18,2510.0,2531.8,2293.0,2402.6
2015-08-19,2382.0,2440.0,2318.0,2391.0
2015-08-20,2339.8,2339.8,2261.4,2283.0
2015-08-21,2263.4,2297.0,2190.0,2224.4
2015-08-24,2194.6,2194.6,2005.2,2005.2
2015-08-25,1960.4,2002.2,1809.8,1809.8
2015-08-26,1853.8,1956.4,1781.0,1829.6
2015-08-27,1870.0,2043.0,1870.0,2034.2
2015-08-28,2067.8,2104.0,2009.8,2073.0
2015-08-31,2060.2,2072.6,1983.4,2052.8
2015-09-01,2049.8,2095.0,1969.0,2036.0
2015-09-02,2011.0,2144.0,2000.0,2007.8
2015-09-07,2060.0,2208.0,2047.8,2052.4
2015-09-08,2075.0,2182.0,2051.2,2170.4
2015-09-09,2194.0,2205.4,2160.4,2177.8
2015-09-10,2159.6,2198.6,2145.8,2181.6
2015-09-11,2184.0,2213.4,2168.2,2176.2
2015-09-14,2208.2,2211.0,2100.0,2134.0
2015-09-15,2136.0,2175.0,2130.8,2160.0
2015-09-16,2168.0,2269.8,2133.2,2243.6
2015-09-17,2185.4,2212.8,2144.0,2155.0
2015-09-18,2154.8,2186.6,2122.2,2151.0
2015-09-21,2111.4,2187.6,2111.4,2185.6
2015-09-22,2186.2,2220.0,2171.0,2194.2
2015-09-23,2175.0,2184.8,2130.0,2139.2
2015-09-24,2134.0,2169.0,2134.0,2153.0
2015-09-25,2151.4,2160.6,2111.2,2131.0
2015-09-28,2122.6,2145.8,2105.0,2136.2
2015-09-29,2111.0,2114.2,2066.4,2094.2
2015-09-30,2101.4,2141.0,2101.4,2112.6
2015-10-08,2217.0,2250.0,2170.2,2171.0
2015-10-09,2189.4,2215.6,2184.6,2207.4
2015-10-12,2211.2,2310.8,2211.2,2276.2
2015-10-13,2278.4,2282.8,2258.4,2262.0
2015-10-14,2247.4,2278.0,2236.2,2240.0
2015-10-15,2227.4,2287.0,2221.0,2287.0
2015-10-16,2299.8,2317.6,2270.0,2291.0
2015-10-19,2297.4,2305.0,2255.0,2263.2
2015-10-20,2267.4,2299.0,2252.0,2298.0
2015-10-21,2291.0,2313.4,2202.8,2251.0
2015-10-22,2251.6,2305.0,2251.6,2291.0
2015-10-23,2308.8,2321.0,2280.2,2320.0
2015-10-26,2331.8,2348.8,2301.6,2316.4
2015-10-27,2314.0,2319.8,2271.0,2314.8
2015-10-28,2301.8,2311.0,2275.6,2279.0
2015-10-29,2283.2,2299.0,2271.2,2287.4
2015-10-30,2284.8,2311.0,2271.6,2286.2
2015-11-02,2255.8,2293.6,2253.2,2266.6
2015-11-03,2275.2,2282.8,2247.0,2251.0
2015-11-04,2265.4,2372.0,2260.8,2367.2
2015-11-05,2364.0,2476.0,2350.2,2424.0
2015-11-06,2428.0,2493.6,2417.2,2486.8
2015-11-09,2484.0,2564.8,2471.4,2507.0
2015-11-10,2497.2,2534.8,2485.6,2497.0
2015-11-11,2492.2,2510.8,2450.2,2498.4
2015-11-12,2496.8,2510.8,2447.0,2462.0
