CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,16600.0,16845.0,16530.0,16610.0
2010-01-05,16650.0,16680.0,16485.0,16525.0
2010-01-06,16280.0,16480.0,16190.0,16320.0
2010-01-07,16395.0,16500.0,15710.0,16035.0
2010-01-08,16030.0,16065.0,15800.0,15960.0
2010-01-11,16060.0,16165.0,15985.0,16040.0
2010-01-12,16950.0,17045.0,16780.0,16875.0
2010-01-13,16590.0,16640.0,16385.0,16425.0
2010-01-14,16575.0,16625.0,16450.0,16465.0
2010-01-15,16400.0,16520.0,16300.0,16325.0
2010-01-18,16200.0,16385.0,16200.0,16350.0
2010-01-19,16400.0,16445.0,16315.0,16360.0
2010-01-20,16400.0,16400.0,16020.0,16035.0
2010-01-21,16030.0,16275.0,15925.0,16240.0
2010-01-22,16120.0,16365.0,16030.0,16305.0
2010-01-25,16280.0,16375.0,16200.0,16300.0
2010-01-26,16155.0,16185.0,15905.0,15910.0
2010-01-27,15975.0,16040.0,15895.0,15970.0
2010-01-28,15815.0,15950.0,15750.0,15905.0
2010-01-29,15900.0,15975.0,15790.0,15880.0
2010-02-01,15920.0,16045.0,15870.0,15995.0
2010-02-02,15930.0,15975.0,15705.0,15780.0
2010-02-03,15970.0,16100.0,15900.0,16065.0
2010-02-04,15980.0,16160.0,15950.0,16115.0
2010-02-05,15905.0,16060.0,15900.0,16045.0
2010-02-08,15860.0,15905.0,15760.0,15805.0
2010-02-09,16005.0,16040.0,15920.0,15940.0
2010-02-10,16155.0,16260.0,16105.0,16150.0
2010-02-11,16200.0,16250.0,16160.0,16190.0
2010-02-12,16230.0,16275.0,16165.0,16230.0
2010-02-22,17000.0,17000.0,16665.0,16765.0
2010-02-23,16810.0,16910.0,16810.0,16835.0
2010-02-24,16745.0,16810.0,16615.0,16615.0
2010-02-25,16655.0,16685.0,16430.0,16435.0
2010-02-26,16585.0,16820.0,16580.0,16780.0
2010-03-01,16925.0,16990.0,16750.0,16775.0
2010-03-02,16785.0,16800.0,16610.0,16630.0
2010-03-03,16625.0,16870.0,16560.0,16830.0
2010-03-04,16890.0,16945.0,16680.0,16685.0
2010-03-05,16660.0,16790.0,16660.0,16755.0
2010-03-08,16810.0,16960.0,16760.0,16845.0
2010-03-09,16855.0,17150.0,16830.0,17085.0
2010-03-10,16975.0,17020.0,16885.0,16910.0
2010-03-11,16900.0,16950.0,16710.0,16770.0
2010-03-12,16745.0,16875.0,16675.0,16850.0
2010-03-15,16950.0,16975.0,16865.0,16955.0
2010-03-16,16945.0,17070.0,16775.0,17020.0
2010-03-17,17115.0,17190.0,17020.0,17135.0
2010-03-18,17080.0,17190.0,17000.0,17080.0
2010-03-19,17160.0,17440.0,17155.0,17340.0
2010-03-22,17335.0,17420.0,17300.0,17320.0
2010-03-23,17355.0,17390.0,17110.0,17165.0
2010-03-24,17200.0,17250.0,17040.0,17085.0
2010-03-25,17010.0,17125.0,16965.0,17050.0
2010-03-26,17000.0,17020.0,16890.0,16970.0
2010-03-29,16950.0,17055.0,16920.0,16945.0
2010-03-30,16990.0,17000.0,16870.0,16945.0
2010-03-31,16920.0,16985.0,16840.0,16870.0
2010-04-01,16960.0,17000.0,16920.0,16930.0
2010-04-02,16990.0,17110.0,16965.0,17105.0
2010-04-06,17120.0,17195.0,17110.0,17170.0
2010-04-07,17150.0,17170.0,17075.0,17100.0
2010-04-08,17040.0,17050.0,17005.0,17010.0
2010-04-09,16870.0,16905.0,16800.0,16890.0
2010-04-12,16900.0,16970.0,16860.0,16925.0
2010-04-13,16870.0,16915.0,16850.0,16895.0
2010-04-14,17000.0,17060.0,16945.0,16950.0
2010-04-15,16930.0,16975.0,16915.0,16915.0
2010-04-16,16965.0,16990.0,16945.0,16960.0
2010-04-19,16885.0,16910.0,16750.0,16790.0
2010-04-20,16855.0,16945.0,16850.0,16945.0
2010-04-21,17200.0,17225.0,17105.0,17160.0
2010-04-22,17110.0,17150.0,17085.0,17090.0
2010-04-23,17100.0,17135.0,17085.0,17110.0
2010-04-26,17190.0,17195.0,17120.0,17120.0
2010-04-27,17115.0,17205.0,17080.0,17145.0
2010-04-28,17085.0,17240.0,17070.0,17205.0
2010-04-29,16860.0,16970.0,16850.0,16935.0
2010-04-30,16880.0,16940.0,16830.0,16935.0
2010-05-04,16895.0,16945.0,16840.0,16850.0
2010-05-05,16700.0,16745.0,16665.0,16725.0
2010-05-06,16795.0,16835.0,16680.0,16680.0
2010-05-07,16500.0,16610.0,16460.0,16545.0
2010-05-10,16615.0,16680.0,16565.0,16675.0
2010-05-11,16640.0,16720.0,16615.0,16625.0
2010-05-12,16580.0,16675.0,16575.0,16655.0
2010-05-13,16650.0,16805.0,16650.0,16795.0
2010-05-14,16760.0,16860.0,16730.0,16790.0
2010-05-17,16760.0,17000.0,16675.0,16765.0
2010-05-18,16835.0,17160.0,16830.0,17065.0
2010-05-19,17030.0,17265.0,16960.0,17170.0
2010-05-20,17205.0,17250.0,17000.0,17045.0
2010-05-21,16960.0,17020.0,16855.0,16895.0
2010-05-24,16950.0,16985.0,16710.0,16820.0
2010-05-25,16780.0,16915.0,16680.0,16685.0
2010-05-26,16790.0,16850.0,16700.0,16835.0
2010-05-27,16820.0,16905.0,16795.0,16825.0
2010-05-28,16820.0,16845.0,16600.0,16635.0
2010-05-31,16580.0,16660.0,16470.0,16575.0
2010-06-01,16585.0,16695.0,16550.0,16680.0
2010-06-02,16605.0,16645.0,16300.0,16375.0
2010-06-03,16395.0,16450.0,16280.0,16405.0
2010-06-04,16350.0,16420.0,16255.0,16390.0
2010-06-07,16130.0,16245.0,16000.0,16085.0
2010-06-08,16175.0,16295.0,16160.0,16290.0
2010-06-09,16360.0,16650.0,16350.0,16625.0
2010-06-10,16710.0,16825.0,16630.0,16640.0
2010-06-11,16695.0,16760.0,16610.0,16745.0
2010-06-17,16810.0,16880.0,16715.0,16810.0
2010-06-18,16780.0,16820.0,16535.0,16555.0
2010-06-21,16610.0,16750.0,16475.0,16595.0
2010-06-22,16560.0,16570.0,16425.0,16510.0
2010-06-23,16560.0,16830.0,16520.0,16795.0
2010-06-24,16800.0,16845.0,16740.0,16805.0
2010-06-25,16850.0,16935.0,16750.0,16775.0
2010-06-28,16820.0,16850.0,16720.0,16835.0
2010-06-29,16780.0,16900.0,16755.0,16795.0
