CLOCK,OPEN,HIGH,LOW,CLOSE
2012-07-17,NaN,NaN,NaN,NaN
2012-07-18,NaN,NaN,NaN,NaN
2012-07-19,NaN,NaN,NaN,NaN
2012-07-20,NaN,NaN,NaN,NaN
2012-07-23,NaN,NaN,NaN,NaN
2012-07-24,NaN,NaN,NaN,NaN
2012-07-25,NaN,NaN,NaN,NaN
2012-07-26,NaN,NaN,NaN,NaN
2012-07-27,NaN,NaN,NaN,NaN
2012-07-30,NaN,NaN,NaN,NaN
2012-07-31,NaN,NaN,NaN,NaN
2012-08-01,NaN,NaN,NaN,NaN
2012-08-02,NaN,NaN,NaN,NaN
2012-08-03,NaN,NaN,NaN,NaN
2012-08-06,9810.0,10230.0,9810.0,10230.0
2012-08-07,9810.0,10230.0,9810.0,10230.0
2012-08-08,9810.0,10230.0,9810.0,10230.0
2012-08-09,9810.0,10230.0,9810.0,10230.0
2012-08-10,9810.0,10230.0,9810.0,10230.0
2012-08-13,9810.0,10230.0,9810.0,10230.0
2012-08-14,9810.0,10230.0,9810.0,10230.0
2012-08-15,9810.0,10230.0,9810.0,10230.0
2012-08-16,9810.0,10230.0,9810.0,10230.0
2012-08-17,9810.0,10230.0,9810.0,10230.0
2012-08-20,9810.0,10230.0,9810.0,10230.0
2012-08-21,9810.0,10230.0,9810.0,10230.0
2012-08-22,9810.0,10230.0,9810.0,10230.0
2012-08-23,9810.0,10230.0,9810.0,10230.0
2012-08-24,9810.0,10230.0,9810.0,10230.0
2012-08-27,9810.0,10230.0,9810.0,10230.0
2012-08-28,9810.0,10230.0,9810.0,10230.0
2012-08-29,9810.0,10230.0,9810.0,10230.0
2012-08-30,9810.0,10230.0,9810.0,10230.0
2012-08-31,9810.0,10230.0,9810.0,10230.0
2012-09-03,9810.0,10230.0,9810.0,10230.0
2012-09-04,9810.0,10230.0,9810.0,10230.0
2012-09-05,9810.0,10230.0,9810.0,10230.0
2012-09-06,9810.0,10230.0,9810.0,10230.0
2012-09-07,9810.0,10230.0,9810.0,10230.0
2012-09-10,9810.0,10230.0,9810.0,10230.0
2012-09-11,9810.0,10230.0,9810.0,10230.0
2012-09-12,9810.0,10230.0,9810.0,10230.0
2012-09-13,9810.0,10230.0,9810.0,10230.0
2012-09-14,9810.0,10230.0,9810.0,10230.0
2012-09-17,9810.0,10230.0,9810.0,10230.0
2012-09-18,9810.0,10230.0,9810.0,10230.0
2012-09-19,9810.0,10230.0,9810.0,10230.0
2012-09-20,10430.0,10430.0,10430.0,10430.0
2012-09-21,10430.0,10430.0,10430.0,10430.0
2012-09-24,10430.0,10430.0,10430.0,10430.0
2012-09-25,10430.0,10430.0,10430.0,10430.0
2012-09-26,10018.0,10794.0,10012.0,10794.0
2012-09-27,10018.0,10794.0,10012.0,10794.0
2012-09-28,10018.0,10794.0,10012.0,10794.0
2012-10-08,10018.0,10794.0,10012.0,10794.0
2012-10-09,10018.0,10794.0,10012.0,10794.0
2012-10-10,10130.0,10130.0,10130.0,10130.0
2012-10-11,10180.0,10180.0,10180.0,10180.0
2012-10-12,10180.0,10180.0,10180.0,10180.0
2012-10-15,10100.0,10132.0,10034.0,10120.0
2012-10-16,10180.0,10180.0,10180.0,10180.0
2012-10-17,10122.0,10168.0,10122.0,10122.0
2012-10-18,10152.0,10152.0,10152.0,10152.0
2012-10-19,10152.0,10152.0,10152.0,10152.0
2012-10-22,10152.0,10152.0,10152.0,10152.0
2012-10-23,10152.0,10152.0,10150.0,10150.0
2012-10-24,10100.0,10114.0,10100.0,10104.0
2012-10-25,10100.0,10114.0,10100.0,10104.0
2012-10-26,9896.0,10050.0,9896.0,10050.0
2012-10-29,10090.0,10090.0,10000.0,10050.0
2012-10-30,10090.0,10090.0,10000.0,10050.0
2012-10-31,10090.0,10090.0,10000.0,10050.0
2012-11-01,10192.0,10192.0,10016.0,10016.0
2012-11-02,10020.0,10084.0,9848.0,9982.0
2012-11-05,9872.0,9990.0,9756.0,9990.0
2012-11-06,9850.0,9850.0,9850.0,9850.0
2012-11-07,9862.0,9918.0,9862.0,9902.0
2012-11-08,9900.0,9900.0,9900.0,9900.0
2012-11-09,9852.0,9852.0,9850.0,9850.0
2012-11-12,9652.0,9748.0,9600.0,9746.0
2012-11-13,9600.0,9600.0,9590.0,9590.0
2012-11-14,9680.0,9680.0,9670.0,9670.0
2012-11-15,9750.0,9750.0,9750.0,9750.0
2012-11-16,9538.0,9680.0,9538.0,9620.0
2012-11-19,9650.0,9700.0,9650.0,9700.0
2012-11-20,9650.0,9700.0,9650.0,9700.0
2012-11-21,9750.0,9750.0,9750.0,9750.0
2012-11-22,9780.0,9780.0,9620.0,9700.0
2012-11-23,9660.0,9780.0,9660.0,9780.0
2012-11-26,9800.0,9800.0,9708.0,9724.0
2012-11-27,9760.0,9760.0,9710.0,9746.0
2012-11-28,9708.0,9760.0,9708.0,9742.0
2012-11-29,9748.0,9756.0,9676.0,9756.0
