CLOCK,OPEN,HIGH,LOW,CLOSE
2012-12-31,2399.0,2399.0,2336.0,2340.0
2013-01-04,2322.0,2380.0,2316.0,2370.0
2013-01-07,2365.0,2457.0,2360.0,2455.0
2013-01-08,2470.0,2500.0,2438.0,2480.0
2013-01-09,2488.0,2514.0,2472.0,2478.0
2013-01-10,2473.0,2490.0,2459.0,2462.0
2013-01-11,2465.0,2525.0,2463.0,2509.0
2013-01-14,2527.0,2548.0,2505.0,2541.0
2013-01-15,2549.0,2618.0,2542.0,2562.0
2013-01-16,2565.0,2595.0,2542.0,2586.0
2013-01-17,2602.0,2612.0,2565.0,2571.0
2013-01-18,2580.0,2612.0,2561.0,2573.0
2013-01-21,2575.0,2591.0,2562.0,2573.0
2013-01-22,2574.0,2595.0,2574.0,2591.0
2013-01-23,2591.0,2604.0,2573.0,2576.0
2013-01-24,2569.0,2569.0,2486.0,2493.0
2013-01-25,2500.0,2518.0,2493.0,2504.0
2013-01-28,2513.0,2524.0,2484.0,2521.0
2013-01-29,2521.0,2528.0,2506.0,2515.0
2013-01-30,2518.0,2538.0,2516.0,2531.0
2013-01-31,2542.0,2550.0,2533.0,2537.0
2013-02-01,2530.0,2532.0,2477.0,2521.0
2013-02-04,2521.0,2579.0,2520.0,2561.0
2013-02-05,2558.0,2614.0,2549.0,2586.0
2013-02-06,2600.0,2609.0,2576.0,2579.0
2013-02-07,2576.0,2586.0,2563.0,2567.0
2013-02-08,2572.0,2602.0,2572.0,2586.0
2013-02-18,2442.0,2478.0,2428.0,2473.0
2013-02-19,2508.0,2557.0,2488.0,2541.0
2013-02-20,2556.0,2562.0,2543.0,2544.0
2013-02-21,2535.0,2584.0,2517.0,2582.0
2013-02-22,2580.0,2639.0,2565.0,2572.0
2013-02-25,2550.0,2560.0,2496.0,2503.0
2013-02-26,2496.0,2538.0,2482.0,2498.0
2013-02-27,2518.0,2538.0,2494.0,2514.0
2013-02-28,2530.0,2538.0,2485.0,2486.0
2013-03-01,2495.0,2515.0,2475.0,2504.0
2013-03-04,2497.0,2513.0,2480.0,2496.0
2013-03-05,2513.0,2530.0,2508.0,2520.0
2013-03-06,2519.0,2526.0,2480.0,2497.0
2013-03-07,2497.0,2506.0,2485.0,2495.0
