CLOCK,OPEN,HIGH,LOW,CLOSE
2016-01-29,3420.0,3768.0,3420.0,3768.0
2016-02-01,3420.0,3768.0,3420.0,3768.0
2016-02-02,3420.0,3768.0,3420.0,3768.0
2016-02-03,3420.0,3768.0,3420.0,3768.0
2016-02-04,3420.0,3768.0,3420.0,3768.0
2016-02-05,3420.0,3768.0,3420.0,3768.0
2016-02-15,3420.0,3768.0,3420.0,3768.0
2016-02-16,3420.0,3768.0,3420.0,3768.0
2016-02-17,3420.0,3768.0,3420.0,3768.0
2016-02-18,3420.0,3768.0,3420.0,3768.0
2016-02-19,3420.0,3768.0,3420.0,3768.0
2016-02-22,3420.0,3768.0,3420.0,3768.0
2016-02-23,3420.0,3768.0,3420.0,3768.0
2016-02-24,3420.0,3768.0,3420.0,3768.0
2016-02-25,3420.0,3768.0,3420.0,3768.0
2016-02-26,3420.0,3768.0,3420.0,3768.0
2016-02-29,3420.0,3768.0,3420.0,3768.0
2016-03-01,3420.0,3768.0,3420.0,3768.0
2016-03-02,3420.0,3768.0,3420.0,3768.0
2016-03-03,3420.0,3768.0,3420.0,3768.0
2016-03-04,3420.0,3768.0,3420.0,3768.0
2016-03-07,3420.0,3768.0,3420.0,3768.0
2016-03-08,3420.0,3768.0,3420.0,3768.0
2016-03-09,3420.0,3768.0,3420.0,3768.0
2016-03-10,3420.0,3768.0,3420.0,3768.0
2016-03-11,4712.0,4718.0,4712.0,4718.0
2016-03-14,4712.0,4718.0,4712.0,4718.0
2016-03-15,4712.0,4718.0,4712.0,4718.0
2016-03-16,4712.0,4718.0,4712.0,4718.0
2016-03-17,4920.0,4920.0,4920.0,4920.0
2016-03-18,5118.0,5118.0,4782.0,4884.0
2016-03-21,5118.0,5118.0,4782.0,4884.0
2016-03-22,5118.0,5118.0,4782.0,4884.0
2016-03-23,5118.0,5118.0,4782.0,4884.0
2016-03-24,5118.0,5118.0,4782.0,4884.0
2016-03-25,5118.0,5118.0,4782.0,4884.0
2016-03-28,5118.0,5118.0,4782.0,4884.0
