CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,5803.0,5901.0,5800.0,5901.0
2010-01-05,5950.0,5993.0,5901.0,5925.0
2010-01-06,5913.0,5990.0,5888.0,5923.0
2010-01-07,5969.0,5985.0,5703.0,5794.0
2010-01-08,5795.0,5800.0,5596.0,5597.0
2010-01-11,5599.0,5665.0,5551.0,5613.0
2010-01-12,5573.0,5601.0,5527.0,5545.0
2010-01-13,5515.0,5608.0,5354.0,5377.0
2010-01-14,5450.0,5479.0,5322.0,5455.0
2010-01-15,5443.0,5488.0,5388.0,5391.0
2010-01-18,5380.0,5473.0,5367.0,5430.0
2010-01-19,5451.0,5483.0,5424.0,5451.0
2010-01-20,5519.0,5549.0,5470.0,5489.0
2010-01-21,5494.0,5701.0,5485.0,5680.0
2010-01-22,5650.0,5682.0,5533.0,5584.0
2010-01-25,5583.0,5625.0,5570.0,5605.0
2010-01-26,5657.0,5688.0,5633.0,5652.0
2010-01-27,5645.0,5665.0,5578.0,5584.0
2010-01-28,5500.0,5505.0,5383.0,5383.0
2010-01-29,5421.0,5441.0,5352.0,5378.0
2010-02-01,5420.0,5486.0,5345.0,5430.0
2010-02-02,5452.0,5529.0,5424.0,5497.0
2010-02-03,5580.0,5660.0,5549.0,5657.0
2010-02-04,5590.0,5618.0,5536.0,5573.0
2010-02-05,5495.0,5523.0,5463.0,5497.0
2010-02-08,5448.0,5552.0,5445.0,5539.0
2010-02-09,5536.0,5563.0,5514.0,5558.0
2010-02-10,5582.0,5756.0,5576.0,5756.0
2010-02-11,5761.0,5843.0,5735.0,5785.0
2010-02-12,5830.0,5868.0,5816.0,5840.0
2010-02-22,5947.0,5976.0,5650.0,5733.0
2010-02-23,5613.0,5771.0,5613.0,5764.0
2010-02-24,5745.0,5809.0,5720.0,5780.0
2010-02-25,5790.0,5876.0,5720.0,5741.0
2010-02-26,5740.0,5780.0,5731.0,5765.0
2010-03-01,5810.0,5820.0,5713.0,5754.0
2010-03-02,5721.0,5729.0,5584.0,5670.0
2010-03-03,5690.0,5719.0,5646.0,5682.0
2010-03-04,5660.0,5680.0,5611.0,5635.0
2010-03-05,5630.0,5705.0,5601.0,5697.0
2010-03-08,5736.0,5748.0,5694.0,5747.0
2010-03-09,5724.0,5732.0,5678.0,5713.0
2010-03-10,5636.0,5645.0,5538.0,5557.0
2010-03-11,5532.0,5535.0,5359.0,5359.0
2010-03-12,5315.0,5352.0,5232.0,5343.0
2010-03-15,5369.0,5372.0,5190.0,5252.0
2010-03-16,4951.0,5036.0,4911.0,5020.0
2010-03-17,4960.0,5076.0,4905.0,5057.0
2010-03-18,5083.0,5144.0,5066.0,5134.0
2010-03-19,5161.0,5181.0,5135.0,5145.0
2010-03-22,5131.0,5202.0,5131.0,5179.0
2010-03-23,5136.0,5147.0,5028.0,5031.0
2010-03-24,4945.0,4995.0,4911.0,4992.0
2010-03-25,5065.0,5081.0,5021.0,5051.0
2010-03-26,5018.0,5126.0,5006.0,5111.0
2010-03-29,5118.0,5150.0,5060.0,5117.0
2010-03-30,5128.0,5144.0,5066.0,5082.0
2010-03-31,5092.0,5125.0,5070.0,5077.0
2010-04-01,5001.0,5031.0,4982.0,5001.0
2010-04-02,5038.0,5102.0,5034.0,5100.0
2010-04-06,5087.0,5119.0,5066.0,5082.0
2010-04-07,5060.0,5099.0,5045.0,5096.0
2010-04-08,5091.0,5125.0,5069.0,5078.0
2010-04-09,5088.0,5145.0,5075.0,5136.0
2010-04-12,5170.0,5218.0,5156.0,5194.0
2010-04-13,5185.0,5208.0,5164.0,5193.0
2010-04-14,5220.0,5233.0,5202.0,5204.0
2010-04-15,5222.0,5227.0,5157.0,5162.0
2010-04-16,5162.0,5191.0,5151.0,5186.0
2010-04-19,5130.0,5141.0,5050.0,5069.0
2010-04-20,5126.0,5136.0,5113.0,5128.0
