CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,8234.0,8452.0,8202.0,8344.0
2010-01-05,8396.0,8464.0,8352.0,8372.0
2010-01-06,8346.0,8446.0,8346.0,8352.0
2010-01-07,8400.0,8486.0,8064.0,8190.0
2010-01-08,8200.0,8220.0,8066.0,8146.0
2010-01-11,8250.0,8312.0,8210.0,8262.0
2010-01-12,8200.0,8340.0,8184.0,8320.0
2010-01-13,8110.0,8216.0,8050.0,8176.0
2010-01-14,8250.0,8354.0,8226.0,8334.0
2010-01-15,8332.0,8348.0,8216.0,8232.0
2010-01-18,8194.0,8356.0,8152.0,8348.0
2010-01-19,8354.0,8400.0,8312.0,8384.0
2010-01-20,8410.0,8436.0,8262.0,8270.0
2010-01-21,8422.0,8542.0,8422.0,8526.0
2010-01-22,8400.0,8468.0,8260.0,8324.0
2010-01-25,8300.0,8358.0,8242.0,8324.0
2010-01-26,8358.0,8382.0,8206.0,8224.0
2010-01-27,8250.0,8250.0,8092.0,8126.0
2010-01-28,8026.0,8070.0,7888.0,8008.0
2010-01-29,7982.0,8058.0,7950.0,8046.0
2010-02-01,8020.0,8056.0,7842.0,7946.0
2010-02-02,8048.0,8076.0,7932.0,7966.0
2010-02-03,8070.0,8172.0,8042.0,8172.0
2010-02-04,8130.0,8194.0,8088.0,8132.0
2010-02-05,7934.0,8058.0,7928.0,8050.0
2010-02-08,8050.0,8074.0,8004.0,8026.0
2010-02-09,8024.0,8158.0,7974.0,8142.0
2010-02-10,8164.0,8224.0,8132.0,8194.0
2010-02-11,8248.0,8282.0,8202.0,8268.0
2010-02-12,8278.0,8464.0,8270.0,8432.0
2010-02-22,8636.0,8648.0,8420.0,8466.0
2010-02-23,8424.0,8516.0,8410.0,8474.0
2010-02-24,8432.0,8514.0,8430.0,8482.0
2010-02-25,8518.0,8564.0,8374.0,8374.0
2010-02-26,8402.0,8440.0,8360.0,8408.0
2010-03-01,8494.0,8500.0,8342.0,8358.0
2010-03-02,8336.0,8336.0,8240.0,8266.0
