CLOCK,OPEN,HIGH,LOW,CLOSE
2012-07-25,2580.0,2599.0,2580.0,2595.0
2012-07-26,2580.0,2599.0,2580.0,2595.0
2012-07-27,2595.0,2602.0,2595.0,2600.0
2012-07-30,2630.0,2666.0,2606.0,2612.0
2012-07-31,2630.0,2666.0,2606.0,2612.0
2012-08-01,2630.0,2666.0,2606.0,2612.0
2012-08-02,2630.0,2666.0,2606.0,2612.0
2012-08-03,2630.0,2666.0,2606.0,2612.0
2012-08-06,2630.0,2666.0,2606.0,2612.0
2012-08-07,2630.0,2666.0,2606.0,2612.0
2012-08-08,2630.0,2666.0,2606.0,2612.0
2012-08-09,2630.0,2666.0,2606.0,2612.0
2012-08-10,2630.0,2666.0,2606.0,2612.0
2012-08-13,2600.0,2600.0,2595.0,2595.0
2012-08-14,2590.0,2590.0,2580.0,2580.0
2012-08-15,2590.0,2590.0,2580.0,2580.0
2012-08-16,2590.0,2590.0,2580.0,2580.0
2012-08-17,2590.0,2590.0,2580.0,2580.0
2012-08-20,2620.0,2640.0,2610.0,2617.0
2012-08-21,2620.0,2620.0,2616.0,2616.0
2012-08-22,2667.0,2667.0,2620.0,2626.0
2012-08-23,2624.0,2626.0,2621.0,2626.0
2012-08-24,2620.0,2620.0,2620.0,2620.0
2012-08-27,2638.0,2644.0,2630.0,2637.0
2012-08-28,2632.0,2632.0,2620.0,2620.0
2012-08-29,2615.0,2615.0,2610.0,2610.0
2012-08-30,2626.0,2626.0,2610.0,2614.0
2012-08-31,2624.0,2635.0,2623.0,2635.0
2012-09-03,2630.0,2636.0,2630.0,2636.0
2012-09-04,2634.0,2634.0,2632.0,2632.0
2012-09-05,2630.0,2630.0,2615.0,2627.0
2012-09-06,2607.0,2614.0,2605.0,2614.0
2012-09-07,2623.0,2623.0,2623.0,2623.0
2012-09-10,2621.0,2621.0,2621.0,2621.0
2012-09-11,2640.0,2640.0,2628.0,2630.0
2012-09-12,2636.0,2638.0,2636.0,2638.0
2012-09-13,2630.0,2660.0,2630.0,2637.0
2012-09-14,2660.0,2663.0,2659.0,2659.0
2012-09-17,2646.0,2667.0,2631.0,2637.0
2012-09-18,2648.0,2648.0,2648.0,2648.0
2012-09-19,2648.0,2648.0,2648.0,2648.0
2012-09-20,2656.0,2660.0,2654.0,2656.0
2012-09-21,2640.0,2648.0,2640.0,2641.0
2012-09-24,2616.0,2629.0,2606.0,2626.0
2012-09-25,2622.0,2635.0,2618.0,2632.0
2012-09-26,2622.0,2622.0,2590.0,2590.0
2012-09-27,2580.0,2580.0,2543.0,2543.0
2012-09-28,2569.0,2569.0,2548.0,2548.0
