CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,4080.0,4090.0,4049.0,4057.0
2010-01-05,4067.0,4082.0,4060.0,4066.0
2010-01-06,4066.0,4194.0,4057.0,4154.0
2010-01-07,4165.0,4188.0,3975.0,4044.0
2010-01-08,4040.0,4050.0,3947.0,3981.0
2010-01-11,4012.0,4050.0,4012.0,4031.0
2010-01-12,4000.0,4029.0,3981.0,4004.0
2010-01-13,3905.0,3938.0,3896.0,3909.0
2010-01-14,3943.0,3943.0,3918.0,3919.0
2010-01-15,3905.0,3949.0,3902.0,3915.0
2010-01-18,3908.0,3925.0,3890.0,3909.0
2010-01-19,3935.0,3935.0,3910.0,3919.0
2010-01-20,3910.0,3929.0,3858.0,3861.0
2010-01-21,3860.0,3903.0,3852.0,3901.0
2010-01-22,3887.0,3893.0,3837.0,3889.0
2010-01-25,3878.0,3926.0,3875.0,3911.0
2010-01-26,3910.0,3930.0,3883.0,3885.0
2010-01-27,3905.0,3938.0,3900.0,3922.0
2010-01-28,3900.0,3900.0,3842.0,3863.0
2010-01-29,3870.0,3884.0,3850.0,3853.0
2010-02-01,3839.0,3849.0,3760.0,3768.0
2010-02-02,3785.0,3798.0,3728.0,3735.0
2010-02-03,3771.0,3785.0,3744.0,3782.0
2010-02-04,3740.0,3760.0,3720.0,3755.0
2010-02-05,3740.0,3793.0,3728.0,3785.0
2010-02-08,3810.0,3825.0,3801.0,3812.0
2010-02-09,3812.0,3819.0,3796.0,3809.0
2010-02-10,3807.0,3815.0,3748.0,3769.0
2010-02-11,3807.0,3828.0,3784.0,3798.0
2010-02-12,3801.0,3808.0,3763.0,3776.0
2010-02-22,3815.0,3850.0,3800.0,3819.0
2010-02-23,3830.0,3878.0,3825.0,3874.0
2010-02-24,3851.0,3867.0,3848.0,3858.0
2010-02-25,3867.0,3874.0,3825.0,3838.0
2010-02-26,3830.0,3845.0,3820.0,3830.0
2010-03-01,3860.0,3904.0,3843.0,3883.0
2010-03-02,3881.0,3898.0,3865.0,3873.0
2010-03-03,3886.0,3910.0,3878.0,3892.0
2010-03-04,3882.0,3889.0,3833.0,3834.0
2010-03-05,3814.0,3840.0,3804.0,3835.0
2010-03-08,3842.0,3845.0,3821.0,3842.0
2010-03-09,3836.0,3855.0,3826.0,3845.0
2010-03-10,3835.0,3852.0,3834.0,3836.0
2010-03-11,3855.0,3876.0,3830.0,3850.0
2010-03-12,3825.0,3830.0,3806.0,3810.0
2010-03-15,3813.0,3816.0,3786.0,3800.0
2010-03-16,3805.0,3839.0,3804.0,3838.0
2010-03-17,3850.0,3859.0,3841.0,3846.0
2010-03-18,3858.0,3858.0,3827.0,3835.0
2010-03-19,3842.0,3875.0,3841.0,3861.0
2010-03-22,3850.0,3885.0,3850.0,3870.0
2010-03-23,3900.0,3901.0,3861.0,3870.0
2010-03-24,3867.0,3871.0,3850.0,3858.0
2010-03-25,3855.0,3874.0,3855.0,3862.0
2010-03-26,3850.0,3858.0,3835.0,3853.0
2010-03-29,3868.0,3878.0,3855.0,3869.0
2010-03-30,3880.0,3898.0,3862.0,3893.0
2010-03-31,3896.0,3920.0,3885.0,3888.0
2010-04-01,3847.0,3876.0,3838.0,3868.0
2010-04-02,3867.0,3884.0,3867.0,3878.0
2010-04-06,3872.0,3885.0,3869.0,3875.0
2010-04-07,3884.0,3903.0,3880.0,3894.0
