CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,1878.0,1900.0,1875.0,1892.0
2010-01-05,1893.0,1904.0,1889.0,1891.0
2010-01-06,1895.0,1918.0,1890.0,1908.0
2010-01-07,1910.0,1921.0,1881.0,1898.0
2010-01-08,1898.0,1927.0,1895.0,1925.0
2010-01-11,1932.0,1936.0,1918.0,1921.0
2010-01-12,1915.0,1922.0,1905.0,1908.0
2010-01-13,1885.0,1896.0,1879.0,1887.0
2010-01-14,1898.0,1903.0,1892.0,1896.0
2010-01-15,1894.0,1897.0,1890.0,1891.0
2010-01-18,1888.0,1897.0,1888.0,1896.0
2010-01-19,1898.0,1903.0,1894.0,1896.0
2010-01-20,1896.0,1898.0,1888.0,1890.0
2010-01-21,1891.0,1896.0,1888.0,1895.0
2010-01-22,1893.0,1894.0,1868.0,1877.0
2010-01-25,1880.0,1880.0,1866.0,1867.0
2010-01-26,1867.0,1869.0,1859.0,1859.0
2010-01-27,1860.0,1865.0,1855.0,1861.0
2010-01-28,1852.0,1857.0,1843.0,1844.0
2010-01-29,1847.0,1855.0,1843.0,1854.0
2010-02-01,1851.0,1854.0,1845.0,1847.0
2010-02-02,1850.0,1853.0,1841.0,1846.0
2010-02-03,1920.0,1920.0,1851.0,1862.0
2010-02-04,1853.0,1853.0,1846.0,1848.0
2010-02-05,1846.0,1851.0,1843.0,1850.0
2010-02-08,1850.0,1854.0,1849.0,1850.0
2010-02-09,1851.0,1852.0,1845.0,1849.0
2010-02-10,1850.0,1860.0,1846.0,1858.0
2010-02-11,1860.0,1861.0,1854.0,1855.0
2010-02-12,1859.0,1859.0,1855.0,1858.0
2010-02-22,1866.0,1868.0,1860.0,1865.0
2010-02-23,1865.0,1878.0,1864.0,1877.0
2010-02-24,1872.0,1877.0,1872.0,1874.0
2010-02-25,1876.0,1878.0,1870.0,1871.0
2010-02-26,1873.0,1875.0,1866.0,1866.0
2010-03-01,1871.0,1883.0,1870.0,1878.0
2010-03-02,1875.0,1878.0,1870.0,1872.0
2010-03-03,1873.0,1876.0,1870.0,1871.0
2010-03-04,1872.0,1873.0,1863.0,1863.0
2010-03-05,1860.0,1863.0,1856.0,1862.0
2010-03-08,1862.0,1870.0,1861.0,1869.0
2010-03-09,1868.0,1873.0,1866.0,1870.0
2010-03-10,1869.0,1874.0,1866.0,1872.0
2010-03-11,1872.0,1875.0,1869.0,1873.0
2010-03-12,1872.0,1879.0,1871.0,1879.0
2010-03-15,1880.0,1895.0,1878.0,1893.0
2010-03-16,1894.0,1899.0,1889.0,1897.0
2010-03-17,1902.0,1903.0,1895.0,1899.0
2010-03-18,1900.0,1901.0,1891.0,1894.0
2010-03-19,1895.0,1909.0,1894.0,1907.0
2010-03-22,1908.0,1916.0,1905.0,1912.0
2010-03-23,1914.0,1918.0,1908.0,1909.0
2010-03-24,1908.0,1910.0,1903.0,1904.0
2010-03-25,1907.0,1916.0,1905.0,1912.0
2010-03-26,1910.0,1919.0,1907.0,1917.0
2010-03-29,1919.0,1941.0,1919.0,1939.0
2010-03-30,1939.0,1941.0,1931.0,1931.0
2010-03-31,1933.0,1936.0,1925.0,1928.0
2010-04-01,1925.0,1937.0,1925.0,1932.0
2010-04-02,1933.0,1935.0,1927.0,1934.0
2010-04-06,1935.0,1946.0,1933.0,1938.0
2010-04-07,1939.0,1939.0,1928.0,1932.0
2010-04-08,1932.0,1933.0,1901.0,1907.0
2010-04-09,1906.0,1910.0,1902.0,1904.0
2010-04-12,1902.0,1911.0,1891.0,1897.0
2010-04-13,1895.0,1916.0,1895.0,1914.0
2010-04-14,1915.0,1919.0,1912.0,1913.0
