CLOCK,OPEN,HIGH,LOW,CLOSE
2018-12-11,5618.0,5680.0,5497.0,5541.0
2018-12-12,5580.0,5598.0,5513.0,5544.0
2018-12-13,5519.0,5646.0,5475.0,5591.0
2018-12-14,5647.0,5666.0,5583.0,5606.0
2018-12-17,5592.0,5637.0,5566.0,5618.0
2018-12-18,5588.0,5628.0,5570.0,5627.0
2018-12-19,5579.0,5635.0,5551.0,5620.0
2018-12-20,5628.0,5635.0,5564.0,5576.0
2018-12-21,5561.0,5576.0,5320.0,5418.0
2018-12-24,5380.0,5385.0,5306.0,5332.0
2018-12-25,5200.0,5231.0,5128.0,5174.0
2018-12-26,5200.0,5229.0,5128.0,5152.0
2018-12-27,5301.0,5377.0,5135.0,5135.0
2018-12-28,5141.0,5166.0,5088.0,5134.0
2019-01-02,5105.0,5134.0,5046.0,5051.0
2019-01-03,5093.0,5152.0,5068.0,5127.0
2019-01-04,5150.0,5181.0,5094.0,5152.0
2019-01-07,5167.0,5200.0,5125.0,5133.0
2019-01-08,5140.0,5168.0,5066.0,5080.0
2019-01-09,5136.0,5187.0,5111.0,5122.0
2019-01-10,5162.0,5168.0,5087.0,5092.0
2019-01-11,5080.0,5135.0,5067.0,5117.0
2019-01-14,5125.0,5177.0,5096.0,5143.0
2019-01-15,5141.0,5236.0,5129.0,5221.0
2019-01-16,5225.0,5243.0,5193.0,5226.0
2019-01-17,5210.0,5225.0,5155.0,5159.0
2019-01-18,5139.0,5176.0,5117.0,5156.0
2019-01-21,5219.0,5323.0,5188.0,5273.0
2019-01-22,5273.0,5457.0,5260.0,5277.0
2019-01-23,5240.0,5280.0,5222.0,5254.0
2019-01-24,5239.0,5273.0,5206.0,5245.0
2019-01-25,5275.0,5323.0,5232.0,5234.0
2019-01-28,5254.0,5264.0,5175.0,5180.0
2019-01-29,5150.0,5198.0,5136.0,5157.0
2019-01-30,5181.0,5239.0,5171.0,5207.0
2019-01-31,5230.0,5289.0,5229.0,5279.0
2019-02-01,5290.0,5330.0,5265.0,5322.0
2019-02-11,5295.0,5299.0,5216.0,5223.0
2019-02-12,5245.0,5274.0,5228.0,5234.0
2019-02-13,5200.0,5225.0,5151.0,5162.0
2019-02-14,5173.0,5195.0,5135.0,5170.0
2019-02-15,5159.0,5180.0,5092.0,5131.0
2019-02-18,5170.0,5184.0,5032.0,5039.0
2019-02-19,5046.0,5074.0,5007.0,5064.0
2019-02-20,5069.0,5082.0,5044.0,5054.0
2019-02-21,5104.0,5148.0,5084.0,5123.0
2019-02-22,5123.0,5169.0,5116.0,5142.0
2019-02-25,5157.0,5187.0,5120.0,5135.0
2019-02-26,5098.0,5168.0,5084.0,5158.0
2019-02-27,5170.0,5183.0,5145.0,5153.0
2019-02-28,5170.0,5216.0,5154.0,5175.0
2019-03-01,5195.0,5298.0,5186.0,5290.0
2019-03-04,5285.0,5421.0,5265.0,5351.0
2019-03-05,5320.0,5350.0,5304.0,5333.0
2019-03-06,5325.0,5438.0,5312.0,5432.0
2019-03-07,5412.0,5428.0,5303.0,5336.0
2019-03-08,5281.0,5320.0,5254.0,5298.0
2019-03-11,5330.0,5330.0,5242.0,5267.0
2019-03-12,5276.0,5301.0,5253.0,5270.0
2019-03-13,5266.0,5287.0,5226.0,5241.0
2019-03-14,5257.0,5270.0,5216.0,5221.0
2019-03-15,5189.0,5202.0,5112.0,5137.0
2019-03-18,5120.0,5156.0,5115.0,5127.0
2019-03-19,5143.0,5145.0,5093.0,5107.0
2019-03-20,5110.0,5148.0,5089.0,5147.0
2019-03-21,5164.0,5176.0,5147.0,5157.0
2019-03-22,5153.0,5163.0,5111.0,5126.0
2019-03-25,5100.0,5125.0,5057.0,5113.0
2019-03-26,5125.0,5130.0,5061.0,5063.0
2019-03-27,5050.0,5076.0,4976.0,4983.0
2019-03-28,4954.0,4980.0,4810.0,4814.0
2019-03-29,4812.0,4909.0,4812.0,4842.0
2019-04-01,4863.0,4889.0,4813.0,4875.0
2019-04-02,4875.0,4900.0,4828.0,4843.0
2019-04-03,4830.0,4876.0,4829.0,4853.0
2019-04-04,4841.0,4916.0,4761.0,4898.0
2019-04-08,4950.0,4968.0,4841.0,4857.0
2019-04-09,4856.0,4910.0,4852.0,4873.0
2019-04-10,4870.0,4905.0,4855.0,4871.0
2019-04-11,4871.0,4879.0,4805.0,4827.0
2019-04-12,4816.0,4836.0,4763.0,4828.0
2019-04-15,4850.0,4855.0,4742.0,4772.0
2019-04-16,4765.0,4774.0,4677.0,4707.0
2019-04-17,4707.0,4738.0,4695.0,4704.0
2019-04-18,4700.0,4737.0,4658.0,4707.0
2019-04-19,4715.0,4745.0,4710.0,4730.0
2019-04-22,4733.0,4797.0,4718.0,4736.0
2019-04-23,4736.0,4752.0,4714.0,4733.0
2019-04-24,4723.0,4728.0,4665.0,4679.0
2019-04-25,4682.0,4693.0,4622.0,4627.0
2019-04-26,4664.0,4664.0,4520.0,4549.0
2019-04-29,4542.0,4653.0,4539.0,4644.0
2019-04-30,4749.0,4758.0,4716.0,4721.0
2019-05-06,4691.0,4726.0,4666.0,4696.0
2019-05-07,4692.0,4725.0,4692.0,4712.0
2019-05-08,4697.0,4737.0,4697.0,4734.0
2019-05-09,4734.0,4739.0,4691.0,4702.0
2019-05-10,4706.0,4761.0,4698.0,4718.0
2019-05-13,4713.0,4718.0,4580.0,4582.0
2019-05-14,4571.0,4612.0,4408.0,4437.0
2019-05-15,4450.0,4492.0,4438.0,4455.0
2019-05-16,4450.0,4517.0,4430.0,4483.0
2019-05-17,4492.0,4500.0,4394.0,4404.0
2019-05-20,4406.0,4472.0,4394.0,4420.0
