CLOCK,OPEN,HIGH,LOW,CLOSE
2013-11-11,3982.0,3983.0,3932.0,3941.0
2013-11-12,3940.0,3970.0,3932.0,3951.0
2013-11-13,3946.0,3970.0,3935.0,3952.0
2013-11-14,3958.0,3963.0,3939.0,3957.0
2013-11-15,3955.0,4015.0,3954.0,4013.0
2013-11-18,4015.0,4039.0,4003.0,4029.0
2013-11-19,4025.0,4036.0,4012.0,4023.0
2013-11-20,4025.0,4048.0,4016.0,4036.0
2013-11-21,4039.0,4039.0,4005.0,4010.0
2013-11-22,4012.0,4040.0,4006.0,4018.0
2013-11-25,4021.0,4178.0,4021.0,4168.0
2013-11-26,4170.0,4180.0,4145.0,4162.0
2013-11-27,4166.0,4174.0,4123.0,4138.0
2013-11-28,4138.0,4193.0,4138.0,4174.0
2013-11-29,4179.0,4185.0,4156.0,4172.0
2013-12-02,4173.0,4190.0,4151.0,4162.0
2013-12-03,4160.0,4196.0,4140.0,4163.0
2013-12-04,4166.0,4176.0,4150.0,4153.0
2013-12-05,4155.0,4181.0,4149.0,4159.0
2013-12-06,4160.0,4180.0,4109.0,4131.0
2013-12-09,4138.0,4150.0,4130.0,4134.0
2013-12-10,4143.0,4190.0,4134.0,4155.0
2013-12-11,4161.0,4175.0,4149.0,4155.0
2013-12-12,4159.0,4172.0,4144.0,4153.0
2013-12-13,4147.0,4157.0,4090.0,4101.0
2013-12-16,4111.0,4119.0,4082.0,4088.0
2013-12-17,4091.0,4125.0,4091.0,4107.0
2013-12-18,4101.0,4122.0,4094.0,4098.0
2013-12-19,4093.0,4093.0,3962.0,3989.0
2013-12-20,3971.0,4000.0,3967.0,3982.0
2013-12-23,3957.0,3973.0,3933.0,3969.0
2013-12-24,3963.0,3994.0,3961.0,3982.0
2013-12-25,3985.0,4023.0,3980.0,3995.0
2013-12-26,4000.0,4017.0,3958.0,3973.0
2013-12-27,3972.0,3993.0,3965.0,3968.0
2013-12-30,3970.0,4006.0,3967.0,3984.0
2013-12-31,3981.0,4000.0,3939.0,3951.0
2014-01-02,3951.0,3978.0,3941.0,3975.0
2014-01-03,3998.0,4036.0,3980.0,4015.0
2014-01-06,4005.0,4024.0,3940.0,3943.0
2014-01-07,3832.0,3919.0,3832.0,3865.0
2014-01-08,3869.0,3884.0,3843.0,3857.0
2014-01-09,3850.0,3880.0,3808.0,3826.0
2014-01-10,3822.0,3847.0,3815.0,3832.0
2014-01-13,3830.0,3860.0,3816.0,3826.0
2014-01-14,3834.0,3875.0,3827.0,3865.0
2014-01-15,3866.0,3866.0,3820.0,3828.0
2014-01-16,3835.0,3837.0,3766.0,3770.0
2014-01-17,3770.0,3785.0,3751.0,3778.0
2014-01-20,3772.0,3808.0,3772.0,3781.0
2014-01-21,3771.0,3772.0,3725.0,3734.0
2014-01-22,3730.0,3731.0,3666.0,3696.0
2014-01-23,3688.0,3721.0,3686.0,3706.0
2014-01-24,3700.0,3718.0,3676.0,3703.0
2014-01-27,3688.0,3735.0,3685.0,3726.0
2014-01-28,3710.0,3762.0,3710.0,3729.0
2014-01-29,3732.0,3759.0,3714.0,3728.0
2014-01-30,3727.0,3752.0,3724.0,3741.0
2014-02-07,3741.0,3780.0,3693.0,3697.0
2014-02-10,3687.0,3750.0,3676.0,3739.0
2014-02-11,3740.0,3767.0,3718.0,3720.0
2014-02-12,3719.0,3732.0,3701.0,3719.0
2014-02-13,3730.0,3749.0,3720.0,3730.0
2014-02-14,3735.0,3834.0,3708.0,3831.0
2014-02-17,3840.0,3859.0,3816.0,3840.0
2014-02-18,3842.0,3866.0,3822.0,3851.0
2014-02-19,3868.0,3876.0,3838.0,3850.0
2014-02-20,3845.0,3850.0,3777.0,3785.0
2014-02-21,3780.0,3798.0,3755.0,3781.0
2014-02-24,3785.0,3817.0,3756.0,3795.0
2014-02-25,3790.0,3802.0,3680.0,3687.0
2014-02-26,3680.0,3710.0,3630.0,3697.0
2014-02-27,3708.0,3726.0,3682.0,3693.0
2014-02-28,3700.0,3720.0,3680.0,3720.0
2014-03-03,3731.0,3794.0,3731.0,3789.0
2014-03-04,3789.0,3849.0,3780.0,3847.0
2014-03-05,3868.0,3880.0,3833.0,3870.0
2014-03-06,3875.0,3879.0,3835.0,3855.0
2014-03-07,3862.0,4008.0,3837.0,4008.0
2014-03-10,4016.0,4090.0,3999.0,4080.0
2014-03-11,4080.0,4138.0,4066.0,4117.0
2014-03-12,4102.0,4126.0,4073.0,4115.0
2014-03-13,4115.0,4262.0,4106.0,4236.0
2014-03-14,4236.0,4266.0,4180.0,4218.0
2014-03-17,4236.0,4240.0,4048.0,4048.0
2014-03-18,4422.0,4505.0,4406.0,4495.0
2014-03-19,4508.0,4527.0,4478.0,4500.0
2014-03-20,4508.0,4520.0,4468.0,4519.0
2014-03-21,4531.0,4608.0,4503.0,4584.0
2014-03-24,4590.0,4605.0,4551.0,4587.0
2014-03-25,4588.0,4600.0,4563.0,4584.0
2014-03-26,4585.0,4642.0,4541.0,4625.0
2014-03-27,4629.0,4651.0,4610.0,4632.0
2014-03-28,4640.0,4644.0,4580.0,4618.0
2014-03-31,4602.0,4609.0,4570.0,4596.0
2014-04-01,4600.0,4648.0,4582.0,4596.0
2014-04-02,4600.0,4616.0,4550.0,4569.0
2014-04-03,4550.0,4625.0,4540.0,4615.0
2014-04-04,4605.0,4630.0,4602.0,4625.0
2014-04-08,4625.0,4695.0,4625.0,4683.0
2014-04-09,4688.0,4709.0,4647.0,4662.0
2014-04-10,4669.0,4716.0,4662.0,4708.0
2014-04-11,4705.0,4716.0,4675.0,4708.0
2014-04-14,4702.0,4733.0,4661.0,4683.0
2014-04-15,4688.0,4705.0,4666.0,4703.0
2014-04-16,4710.0,4731.0,4676.0,4726.0
2014-04-17,4730.0,4788.0,4707.0,4776.0
2014-04-18,4780.0,4807.0,4761.0,4803.0
2014-04-21,4820.0,4920.0,4811.0,4916.0
2014-04-22,4922.0,4928.0,4882.0,4911.0
2014-04-23,4911.0,4921.0,4861.0,4910.0
2014-04-24,4910.0,4936.0,4838.0,4860.0
2014-04-25,4852.0,4886.0,4841.0,4875.0
2014-04-28,4875.0,4965.0,4875.0,4955.0
2014-04-29,4959.0,4971.0,4911.0,4943.0
2014-04-30,4950.0,4999.0,4935.0,4997.0
2014-05-05,5020.0,5038.0,4981.0,5010.0
2014-05-06,5015.0,5030.0,4995.0,5029.0
2014-05-07,5030.0,5063.0,5005.0,5060.0
2014-05-08,5064.0,5115.0,5015.0,5019.0
2014-05-09,5020.0,5049.0,5001.0,5046.0
2014-05-12,5068.0,5149.0,5060.0,5148.0
2014-05-13,5149.0,5190.0,5135.0,5189.0
2014-05-14,5199.0,5205.0,5164.0,5194.0
2014-05-15,5190.0,5237.0,5161.0,5236.0
2014-05-16,5222.0,5278.0,5202.0,5276.0
2014-05-19,5246.0,5257.0,5135.0,5167.0
2014-05-20,5167.0,5282.0,5162.0,5266.0
2014-05-21,5246.0,5260.0,5068.0,5096.0
2014-05-22,5096.0,5117.0,5048.0,5068.0
2014-05-23,5066.0,5107.0,5026.0,5091.0
2014-05-26,5028.0,5030.0,4969.0,4976.0
2014-05-27,4970.0,5029.0,4960.0,5009.0
2014-05-28,5002.0,5075.0,4991.0,5024.0
2014-05-29,5009.0,5045.0,4985.0,5030.0
2014-05-30,5032.0,5053.0,4920.0,4928.0
2014-06-03,4860.0,4912.0,4857.0,4890.0
2014-06-04,4899.0,4956.0,4897.0,4946.0
2014-06-05,4944.0,4979.0,4928.0,4962.0
2014-06-06,4966.0,5080.0,4960.0,5079.0
2014-06-09,5080.0,5109.0,5060.0,5094.0
2014-06-10,5091.0,5093.0,5046.0,5062.0
2014-06-11,5060.0,5144.0,5051.0,5132.0
2014-06-12,5128.0,5170.0,5106.0,5125.0
2014-06-13,5125.0,5163.0,5081.0,5149.0
2014-06-16,5130.0,5135.0,5073.0,5103.0
2014-06-17,5098.0,5189.0,5087.0,5146.0
2014-06-18,5146.0,5166.0,5118.0,5155.0
2014-06-19,5152.0,5195.0,5143.0,5183.0
2014-06-20,5183.0,5264.0,5175.0,5245.0
2014-06-23,5259.0,5276.0,5209.0,5242.0
2014-06-24,5245.0,5258.0,5210.0,5249.0
2014-06-25,5249.0,5275.0,5221.0,5263.0
2014-06-26,5258.0,5270.0,5230.0,5255.0
2014-06-27,5255.0,5350.0,5222.0,5342.0
2014-06-30,5335.0,5369.0,5330.0,5365.0
2014-07-01,5339.0,5360.0,5291.0,5356.0
2014-07-02,5358.0,5390.0,5065.0,5210.0
2014-07-03,5210.0,5248.0,5193.0,5235.0
2014-07-04,5245.0,5335.0,5244.0,5332.0
2014-07-07,5354.0,5375.0,5281.0,5330.0
2014-07-08,5334.0,5350.0,5250.0,5342.0
2014-07-09,5336.0,5346.0,5283.0,5306.0
2014-07-10,5310.0,5328.0,5260.0,5297.0
2014-07-11,5302.0,5559.0,5302.0,5422.0
2014-07-14,5445.0,5479.0,5425.0,5463.0
2014-07-15,5456.0,5474.0,5420.0,5458.0
2014-07-16,5450.0,5460.0,5410.0,5435.0
2014-07-17,5435.0,5488.0,5423.0,5482.0
2014-07-18,5441.0,5471.0,5346.0,5391.0
2014-07-21,5380.0,5385.0,5306.0,5344.0
2014-07-22,5320.0,5324.0,5215.0,5231.0
2014-07-23,5215.0,5257.0,5188.0,5205.0
2014-07-24,5210.0,5299.0,5207.0,5283.0
2014-07-25,5283.0,5320.0,5254.0,5313.0
2014-07-28,4897.0,4958.0,4884.0,4938.0
2014-07-29,4940.0,4961.0,4903.0,4929.0
2014-07-30,4916.0,4919.0,4851.0,4906.0
2014-07-31,4910.0,4932.0,4885.0,4898.0
2014-08-01,4880.0,4939.0,4871.0,4885.0
2014-08-04,4896.0,4925.0,4858.0,4910.0
2014-08-05,4915.0,4939.0,4885.0,4913.0
2014-08-06,4913.0,4957.0,4870.0,4889.0
2014-08-07,4900.0,4900.0,4815.0,4815.0
2014-08-08,4815.0,4825.0,4770.0,4788.0
