CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,3050.0,3055.0,3024.0,3033.0
2010-01-05,3035.0,3051.0,3032.0,3032.0
2010-01-06,3035.0,3082.0,3030.0,3058.0
2010-01-07,3065.0,3080.0,2936.0,2988.0
2010-01-08,2980.0,2986.0,2930.0,2962.0
2010-01-11,2984.0,2998.0,2980.0,2985.0
2010-01-12,2958.0,2967.0,2941.0,2955.0
2010-01-13,2890.0,2898.0,2860.0,2869.0
2010-01-14,2889.0,2898.0,2880.0,2881.0
2010-01-15,2875.0,2905.0,2870.0,2886.0
2010-01-18,2892.0,2909.0,2888.0,2904.0
2010-01-19,2912.0,2923.0,2906.0,2910.0
2010-01-20,2906.0,2913.0,2863.0,2870.0
2010-01-21,2866.0,2885.0,2856.0,2885.0
2010-01-22,2872.0,2878.0,2838.0,2870.0
2010-01-25,2866.0,2882.0,2864.0,2870.0
2010-01-26,2864.0,2868.0,2841.0,2843.0
2010-01-27,2854.0,2861.0,2848.0,2852.0
2010-01-28,2827.0,2829.0,2802.0,2807.0
2010-01-29,2805.0,2815.0,2782.0,2788.0
2010-02-01,2765.0,2780.0,2716.0,2721.0
2010-02-02,2735.0,2739.0,2683.0,2698.0
2010-02-03,2730.0,2742.0,2710.0,2742.0
2010-02-04,2710.0,2729.0,2691.0,2718.0
2010-02-05,2702.0,2740.0,2693.0,2730.0
2010-02-08,2743.0,2759.0,2742.0,2756.0
2010-02-09,2756.0,2762.0,2742.0,2758.0
2010-02-10,2753.0,2760.0,2721.0,2742.0
2010-02-11,2772.0,2795.0,2762.0,2780.0
2010-02-12,2784.0,2787.0,2768.0,2776.0
2010-02-22,2810.0,2820.0,2792.0,2813.0
2010-02-23,2821.0,2878.0,2816.0,2868.0
2010-02-24,2850.0,2860.0,2847.0,2854.0
2010-02-25,2856.0,2864.0,2824.0,2832.0
2010-02-26,2828.0,2829.0,2807.0,2814.0
2010-03-01,2841.0,2857.0,2831.0,2851.0
2010-03-02,2851.0,2852.0,2818.0,2821.0
2010-03-03,2828.0,2840.0,2826.0,2831.0
2010-03-04,2825.0,2825.0,2777.0,2783.0
2010-03-05,2765.0,2779.0,2752.0,2777.0
2010-03-08,2779.0,2800.0,2774.0,2797.0
2010-03-09,2794.0,2804.0,2781.0,2794.0
2010-03-10,2788.0,2797.0,2784.0,2787.0
2010-03-11,2801.0,2809.0,2760.0,2784.0
2010-03-12,2756.0,2761.0,2738.0,2749.0
2010-03-15,2745.0,2754.0,2736.0,2749.0
2010-03-16,2760.0,2796.0,2755.0,2792.0
2010-03-17,2809.0,2810.0,2793.0,2798.0
2010-03-18,2802.0,2808.0,2782.0,2790.0
2010-03-19,2804.0,2843.0,2797.0,2833.0
2010-03-22,2829.0,2839.0,2821.0,2828.0
2010-03-23,2843.0,2847.0,2823.0,2827.0
2010-03-24,2826.0,2829.0,2806.0,2813.0
2010-03-25,2810.0,2830.0,2810.0,2824.0
2010-03-26,2806.0,2818.0,2796.0,2814.0
2010-03-29,2829.0,2838.0,2819.0,2832.0
2010-03-30,2840.0,2866.0,2835.0,2844.0
2010-03-31,2850.0,2860.0,2845.0,2849.0
2010-04-01,2801.0,2819.0,2801.0,2818.0
2010-04-02,2820.0,2831.0,2818.0,2830.0
2010-04-06,2819.0,2837.0,2817.0,2823.0
2010-04-07,2830.0,2842.0,2824.0,2840.0
2010-04-08,2840.0,2844.0,2824.0,2826.0
2010-04-09,2826.0,2832.0,2823.0,2829.0
2010-04-12,2840.0,2855.0,2838.0,2844.0
2010-04-13,2840.0,2858.0,2836.0,2856.0
2010-04-14,2868.0,2874.0,2860.0,2865.0
2010-04-15,2870.0,2870.0,2860.0,2864.0
2010-04-16,2881.0,2890.0,2873.0,2884.0
2010-04-19,2875.0,2882.0,2844.0,2858.0
2010-04-20,2870.0,2894.0,2869.0,2891.0
2010-04-21,2898.0,2899.0,2884.0,2885.0
2010-04-22,2897.0,2898.0,2886.0,2888.0
2010-04-23,2895.0,2920.0,2893.0,2918.0
2010-04-26,2925.0,2933.0,2920.0,2929.0
2010-04-27,2916.0,2919.0,2911.0,2917.0
2010-04-28,2897.0,2901.0,2880.0,2896.0
2010-04-29,2900.0,2905.0,2896.0,2900.0
2010-04-30,2905.0,2925.0,2889.0,2922.0
2010-05-04,2925.0,2930.0,2912.0,2920.0
2010-05-05,2913.0,2940.0,2908.0,2937.0
2010-05-06,2929.0,2933.0,2886.0,2892.0
2010-05-07,2861.0,2871.0,2842.0,2854.0
2010-05-10,2871.0,2901.0,2871.0,2898.0
2010-05-11,2894.0,2899.0,2879.0,2881.0
2010-05-12,2889.0,2920.0,2889.0,2911.0
2010-05-13,2910.0,2919.0,2902.0,2914.0
2010-05-14,2910.0,2913.0,2878.0,2884.0
2010-05-17,2870.0,2878.0,2822.0,2838.0
2010-05-18,2842.0,2868.0,2836.0,2855.0
2010-05-19,2836.0,2853.0,2825.0,2835.0
2010-05-20,2851.0,2862.0,2834.0,2839.0
2010-05-21,2838.0,2853.0,2810.0,2846.0
2010-05-24,2851.0,2863.0,2840.0,2852.0
2010-05-25,2836.0,2844.0,2818.0,2823.0
2010-05-26,2837.0,2839.0,2822.0,2834.0
2010-05-27,2836.0,2840.0,2824.0,2838.0
2010-05-28,2850.0,2852.0,2825.0,2828.0
2010-05-31,2812.0,2812.0,2795.0,2796.0
2010-06-01,2803.0,2806.0,2787.0,2792.0
2010-06-02,2790.0,2804.0,2783.0,2798.0
2010-06-03,2801.0,2809.0,2793.0,2805.0
2010-06-04,2826.0,2826.0,2813.0,2818.0
2010-06-07,2773.0,2776.0,2760.0,2771.0
2010-06-08,2773.0,2778.0,2768.0,2775.0
2010-06-09,2766.0,2772.0,2748.0,2765.0
2010-06-10,2774.0,2775.0,2762.0,2765.0
2010-06-11,2766.0,2766.0,2748.0,2752.0
2010-06-17,2788.0,2788.0,2771.0,2777.0
2010-06-18,2780.0,2801.0,2777.0,2794.0
