CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,7720.0,7730.0,7630.0,7635.0
2010-01-05,7685.0,7815.0,7655.0,7700.0
2010-01-06,7690.0,7750.0,7645.0,7655.0
2010-01-07,7695.0,7725.0,7340.0,7560.0
2010-01-08,7600.0,7600.0,7415.0,7470.0
2010-01-11,7520.0,7580.0,7500.0,7525.0
2010-01-12,7510.0,7510.0,7445.0,7450.0
2010-01-13,7350.0,7355.0,7270.0,7325.0
2010-01-14,7345.0,7395.0,7340.0,7390.0
2010-01-15,7360.0,7430.0,7355.0,7370.0
2010-01-18,7690.0,7810.0,7680.0,7795.0
2010-01-19,7800.0,7845.0,7750.0,7775.0
2010-01-20,7820.0,7835.0,7725.0,7740.0
2010-01-21,7700.0,7770.0,7690.0,7770.0
2010-01-22,7680.0,7815.0,7660.0,7750.0
2010-01-25,7730.0,7770.0,7705.0,7715.0
2010-01-26,7735.0,7740.0,7600.0,7605.0
2010-01-27,7630.0,7645.0,7530.0,7560.0
2010-01-28,7540.0,7545.0,7400.0,7420.0
2010-01-29,7380.0,7410.0,7320.0,7350.0
2010-02-01,7350.0,7385.0,7275.0,7290.0
2010-02-02,7350.0,7385.0,7255.0,7310.0
2010-02-03,7360.0,7495.0,7315.0,7470.0
2010-02-04,7400.0,7470.0,7385.0,7445.0
2010-02-05,7320.0,7390.0,7310.0,7380.0
2010-02-08,7345.0,7470.0,7340.0,7440.0
2010-02-09,7440.0,7490.0,7400.0,7465.0
2010-02-10,7485.0,7525.0,7455.0,7495.0
2010-02-11,7505.0,7560.0,7490.0,7535.0
2010-02-12,7550.0,7615.0,7530.0,7610.0
2010-02-22,7800.0,7800.0,7655.0,7710.0
2010-02-23,7660.0,7715.0,7660.0,7700.0
2010-02-24,7670.0,7690.0,7660.0,7680.0
2010-02-25,7750.0,7750.0,7600.0,7615.0
2010-02-26,7605.0,7630.0,7550.0,7580.0
2010-03-01,7610.0,7665.0,7535.0,7580.0
2010-03-02,7555.0,7610.0,7525.0,7530.0
2010-03-03,7575.0,7580.0,7510.0,7560.0
2010-03-04,7575.0,7600.0,7450.0,7470.0
2010-03-05,7480.0,7490.0,7410.0,7445.0
2010-03-08,7455.0,7540.0,7440.0,7525.0
2010-03-09,7500.0,7535.0,7490.0,7515.0
2010-03-10,7500.0,7580.0,7475.0,7500.0
2010-03-11,7510.0,7570.0,7430.0,7455.0
2010-03-12,7460.0,7495.0,7440.0,7480.0
2010-03-15,7455.0,7490.0,7355.0,7380.0
2010-03-16,7350.0,7405.0,7330.0,7395.0
2010-03-17,7440.0,7510.0,7405.0,7495.0
2010-03-18,7495.0,7530.0,7465.0,7490.0
2010-03-19,7485.0,7595.0,7480.0,7590.0
2010-03-22,7560.0,7585.0,7540.0,7585.0
2010-03-23,7600.0,7620.0,7560.0,7570.0
2010-03-24,7570.0,7585.0,7530.0,7545.0
2010-03-25,7520.0,7550.0,7510.0,7525.0
2010-03-26,7515.0,7580.0,7515.0,7570.0
2010-03-29,7590.0,7590.0,7545.0,7555.0
2010-03-30,7580.0,7580.0,7470.0,7475.0
2010-03-31,7880.0,7890.0,7790.0,7790.0
2010-04-01,7810.0,7840.0,7790.0,7800.0
2010-04-02,7840.0,7850.0,7760.0,7780.0
2010-04-06,7830.0,7870.0,7800.0,7835.0
2010-04-07,7850.0,7935.0,7835.0,7905.0
2010-04-08,7900.0,7945.0,7860.0,7880.0
2010-04-09,7900.0,7960.0,7900.0,7955.0
2010-04-12,7990.0,8025.0,7940.0,7965.0
2010-04-13,7970.0,7995.0,7915.0,7930.0
2010-04-14,7950.0,7995.0,7920.0,7965.0
2010-04-15,7990.0,8090.0,7965.0,8065.0
2010-04-16,8080.0,8085.0,7995.0,8005.0
2010-04-19,7920.0,7975.0,7905.0,7935.0
2010-04-20,7970.0,7990.0,7950.0,7970.0
2010-04-21,7990.0,7990.0,7900.0,7915.0
2010-04-22,7900.0,7900.0,7840.0,7855.0
2010-04-23,7865.0,7905.0,7855.0,7885.0
2010-04-26,7910.0,7930.0,7875.0,7890.0
2010-04-27,7860.0,7870.0,7750.0,7770.0
2010-04-28,7700.0,7740.0,7660.0,7730.0
2010-04-29,7740.0,7770.0,7710.0,7715.0
2010-04-30,7765.0,7770.0,7715.0,7745.0
2010-05-04,7745.0,7745.0,7690.0,7730.0
2010-05-05,7650.0,7715.0,7630.0,7715.0
2010-05-06,7695.0,7720.0,7675.0,7680.0
2010-05-07,7650.0,7775.0,7605.0,7720.0
2010-05-10,7775.0,7785.0,7650.0,7725.0
2010-05-11,7720.0,7750.0,7640.0,7640.0
2010-05-12,7630.0,7680.0,7535.0,7540.0
2010-05-13,7560.0,7565.0,7510.0,7555.0
2010-05-14,7510.0,7565.0,7460.0,7470.0
2010-05-17,7405.0,7420.0,7135.0,7175.0
2010-05-18,7190.0,7305.0,7100.0,7285.0
2010-05-19,7200.0,7355.0,7155.0,7295.0
2010-05-20,7340.0,7395.0,7315.0,7375.0
2010-05-21,7310.0,7415.0,7255.0,7355.0
2010-05-24,7385.0,7490.0,7365.0,7485.0
2010-05-25,7450.0,7505.0,7395.0,7415.0
2010-05-26,7460.0,7475.0,7380.0,7440.0
2010-05-27,7465.0,7520.0,7420.0,7520.0
2010-05-28,7560.0,7590.0,7500.0,7520.0
2010-05-31,7510.0,7510.0,7455.0,7465.0
2010-06-01,7460.0,7465.0,7270.0,7275.0
2010-06-02,7300.0,7320.0,7155.0,7240.0
2010-06-03,7300.0,7315.0,7255.0,7290.0
2010-06-04,7290.0,7295.0,7220.0,7280.0
2010-06-07,7120.0,7120.0,6900.0,6935.0
2010-06-08,6970.0,7135.0,6970.0,7115.0
2010-06-09,7135.0,7175.0,7065.0,7165.0
2010-06-10,7175.0,7215.0,7105.0,7155.0
2010-06-11,7200.0,7225.0,7145.0,7160.0
2010-06-17,7240.0,7255.0,7155.0,7180.0
2010-06-18,7190.0,7205.0,7105.0,7110.0
2010-06-21,7180.0,7395.0,7150.0,7305.0
2010-06-22,7260.0,7265.0,7210.0,7235.0
2010-06-23,7200.0,7240.0,7150.0,7190.0
2010-06-24,7170.0,7270.0,7170.0,7205.0
2010-06-25,7210.0,7220.0,7150.0,7165.0
2010-06-28,7210.0,7220.0,7140.0,7145.0
2010-06-29,7110.0,7150.0,7015.0,7065.0
2010-06-30,7000.0,7065.0,7000.0,7050.0
2010-07-01,7040.0,7060.0,6980.0,6980.0
2010-07-02,6950.0,7045.0,6950.0,7040.0
2010-07-05,7040.0,7050.0,7015.0,7030.0
2010-07-06,7000.0,7000.0,6930.0,6980.0
2010-07-07,6960.0,6975.0,6920.0,6925.0
2010-07-08,7005.0,7020.0,6880.0,6915.0
2010-07-09,6920.0,6965.0,6915.0,6945.0
2010-07-12,6950.0,7000.0,6930.0,6935.0
2010-07-13,6930.0,6945.0,6900.0,6905.0
2010-07-14,6960.0,6960.0,6910.0,6920.0
2010-07-15,6905.0,6910.0,6830.0,6845.0
2010-07-16,6850.0,6875.0,6810.0,6835.0
2010-07-19,6820.0,6865.0,6790.0,6860.0
2010-07-20,6870.0,6965.0,6855.0,6965.0
2010-07-21,6970.0,6985.0,6935.0,6955.0
2010-07-22,6930.0,7000.0,6930.0,6990.0
2010-07-23,7050.0,7145.0,7030.0,7125.0
2010-07-26,7130.0,7170.0,7115.0,7160.0
2010-07-27,7160.0,7165.0,7095.0,7110.0
2010-07-28,7060.0,7180.0,7060.0,7170.0
2010-07-29,7195.0,7195.0,7125.0,7175.0
2010-07-30,7190.0,7200.0,7160.0,7195.0
2010-08-02,7195.0,7300.0,7195.0,7295.0
2010-08-03,7335.0,7345.0,7225.0,7230.0
2010-08-04,7420.0,7435.0,7330.0,7425.0
2010-08-05,7440.0,7460.0,7335.0,7350.0
2010-08-06,7360.0,7410.0,7340.0,7410.0
2010-08-09,7385.0,7520.0,7385.0,7510.0
2010-08-10,7500.0,7530.0,7450.0,7470.0
2010-08-11,7450.0,7490.0,7435.0,7445.0
2010-08-12,7405.0,7405.0,7330.0,7365.0
2010-08-13,7360.0,7450.0,7350.0,7445.0
2010-08-16,7440.0,7555.0,7375.0,7535.0
2010-08-17,7540.0,7550.0,7490.0,7525.0
2010-08-18,7540.0,7580.0,7470.0,7485.0
2010-08-19,7500.0,7570.0,7480.0,7560.0
2010-08-20,7530.0,7550.0,7410.0,7425.0
2010-08-23,7440.0,7445.0,7355.0,7375.0
2010-08-24,7350.0,7405.0,7295.0,7365.0
2010-08-25,7360.0,7515.0,7355.0,7505.0
2010-08-26,7540.0,7540.0,7470.0,7520.0
2010-08-27,7520.0,7525.0,7470.0,7515.0
2010-08-30,7570.0,7600.0,7525.0,7530.0
2010-08-31,7490.0,7490.0,7400.0,7410.0
2010-09-01,7410.0,7495.0,7410.0,7475.0
2010-09-02,7510.0,7545.0,7475.0,7530.0
2010-09-03,7550.0,7555.0,7450.0,7485.0
2010-09-06,7490.0,7620.0,7490.0,7600.0
2010-09-07,7590.0,7705.0,7560.0,7645.0
2010-09-08,7655.0,7730.0,7650.0,7665.0
2010-09-09,7700.0,7720.0,7450.0,7565.0
2010-09-10,7540.0,7660.0,7540.0,7645.0
2010-09-13,7700.0,7770.0,7675.0,7715.0
2010-09-14,7720.0,7745.0,7665.0,7675.0
2010-09-15,7680.0,7750.0,7680.0,7690.0
2010-09-16,7685.0,7800.0,7685.0,7790.0
2010-09-17,7790.0,7845.0,7755.0,7765.0
2010-09-20,7805.0,7855.0,7790.0,7810.0
2010-09-21,7840.0,7880.0,7785.0,7835.0
2010-09-27,7980.0,8015.0,7920.0,8000.0
2010-09-28,7960.0,8040.0,7950.0,7970.0
2010-09-29,7980.0,8000.0,7820.0,7930.0
2010-09-30,7940.0,7945.0,7870.0,7920.0
2010-10-08,7920.0,8000.0,7920.0,7945.0
2010-10-11,7995.0,8190.0,7995.0,8130.0
2010-10-12,8080.0,8095.0,7965.0,7990.0
2010-10-13,8030.0,8110.0,8005.0,8035.0
2010-10-14,8090.0,8145.0,8020.0,8065.0
2010-10-15,8055.0,8055.0,7930.0,7950.0
2010-10-18,7850.0,7880.0,7700.0,7785.0
2010-10-19,7850.0,7880.0,7740.0,7825.0
2010-10-20,7690.0,7785.0,7650.0,7770.0
2010-10-21,7820.0,7850.0,7770.0,7785.0
2010-10-22,7765.0,7890.0,7745.0,7850.0
2010-10-25,7910.0,7975.0,7855.0,7940.0
2010-10-26,7950.0,8080.0,7895.0,8040.0
2010-10-27,8065.0,8135.0,7910.0,7955.0
2010-10-28,7980.0,8085.0,7970.0,8015.0
2010-10-29,7980.0,8060.0,7920.0,7970.0
2010-11-01,8000.0,8080.0,7985.0,8040.0
2010-11-02,8065.0,8090.0,8005.0,8050.0
2010-11-03,8060.0,8135.0,8055.0,8065.0
2010-11-04,8120.0,8270.0,8085.0,8265.0
2010-11-05,8305.0,8600.0,8305.0,8580.0
2010-11-08,8515.0,8875.0,8395.0,8610.0
2010-11-09,8575.0,9050.0,8510.0,9050.0
2010-11-10,8900.0,9280.0,8900.0,9000.0
2010-11-11,9650.0,9650.0,9100.0,9100.0
2010-11-12,8910.0,8990.0,8825.0,8825.0
2010-11-15,8415.0,8900.0,8410.0,8580.0
2010-11-16,8670.0,8895.0,8525.0,8580.0
2010-11-17,8300.0,8475.0,8300.0,8320.0
2010-11-18,8500.0,8770.0,8310.0,8620.0
2010-11-19,8765.0,8780.0,8505.0,8660.0
2010-11-22,8580.0,8820.0,8560.0,8730.0
2010-11-23,8735.0,8820.0,8390.0,8445.0
2010-11-24,8500.0,8545.0,8400.0,8505.0
2010-11-25,8580.0,8600.0,8455.0,8460.0
2010-11-26,8500.0,8500.0,8155.0,8240.0
2010-11-29,8200.0,8315.0,8185.0,8260.0
2010-11-30,8290.0,8300.0,7970.0,8095.0
2010-12-01,8020.0,8140.0,7990.0,8095.0
2010-12-02,8190.0,8275.0,8145.0,8190.0
2010-12-03,8200.0,8260.0,8135.0,8155.0
2010-12-06,8215.0,8285.0,8160.0,8170.0
2010-12-07,8150.0,8150.0,7900.0,8060.0
2010-12-08,7950.0,8130.0,7945.0,8005.0
2010-12-09,8090.0,8165.0,8055.0,8120.0
2010-12-10,8115.0,8120.0,8055.0,8095.0
2010-12-13,8065.0,8450.0,8060.0,8305.0
2010-12-14,8320.0,8390.0,8235.0,8350.0
2010-12-15,8320.0,8385.0,8210.0,8230.0
2010-12-16,8230.0,8355.0,8230.0,8270.0
2010-12-17,8280.0,8355.0,8270.0,8305.0
2010-12-20,8350.0,8440.0,8210.0,8305.0
2010-12-21,8360.0,8370.0,8295.0,8350.0
2010-12-22,8360.0,8400.0,8265.0,8275.0
2010-12-23,8295.0,8360.0,8290.0,8355.0
2010-12-24,8395.0,8495.0,8335.0,8490.0
2010-12-27,8445.0,8560.0,8380.0,8530.0
2010-12-28,8525.0,8580.0,8455.0,8490.0
2010-12-29,8515.0,8585.0,8420.0,8495.0
2010-12-30,8480.0,8535.0,8410.0,8515.0
2010-12-31,8470.0,8485.0,8375.0,8375.0
2011-01-04,8420.0,8530.0,8420.0,8515.0
2011-01-05,8440.0,8475.0,8405.0,8420.0
2011-01-06,8490.0,8565.0,8470.0,8525.0
2011-01-07,8440.0,8460.0,8005.0,8150.0
2011-01-10,8210.0,8240.0,8110.0,8120.0
2011-01-11,8150.0,8180.0,8080.0,8145.0
2011-01-12,8185.0,8240.0,8125.0,8175.0
2011-01-13,8250.0,8255.0,8170.0,8175.0
2011-01-14,8130.0,8195.0,8110.0,8170.0
2011-01-17,8195.0,8205.0,8050.0,8060.0
2011-01-18,8060.0,8175.0,8020.0,8145.0
2011-01-19,8165.0,8255.0,8145.0,8240.0
2011-01-20,8200.0,8295.0,8125.0,8145.0
2011-01-21,8055.0,8150.0,8055.0,8110.0
2011-01-24,8115.0,8300.0,8115.0,8195.0
2011-01-25,8160.0,8170.0,8050.0,8055.0
2011-01-26,7990.0,8165.0,7980.0,8145.0
2011-01-27,8180.0,8215.0,8105.0,8155.0
2011-01-28,8110.0,8220.0,8100.0,8215.0
2011-01-31,8300.0,8320.0,8220.0,8265.0
2011-02-01,8305.0,8340.0,8270.0,8310.0
2011-02-09,8310.0,8355.0,8220.0,8305.0
2011-02-10,8310.0,8580.0,8305.0,8525.0
2011-02-11,8550.0,8555.0,8440.0,8450.0
2011-02-14,8490.0,8510.0,8365.0,8485.0
2011-02-15,8470.0,8550.0,8415.0,8440.0
2011-02-16,8400.0,8450.0,8360.0,8440.0
2011-02-17,8470.0,8515.0,8390.0,8410.0
2011-02-18,8455.0,8525.0,8375.0,8385.0
2011-02-21,8400.0,8650.0,8390.0,8585.0
2011-02-22,8670.0,8680.0,8325.0,8470.0
2011-02-23,8420.0,8590.0,8310.0,8410.0
2011-02-24,8490.0,8595.0,8370.0,8590.0
2011-02-25,8600.0,8715.0,8435.0,8630.0
2011-02-28,8675.0,8695.0,8545.0,8630.0
2011-03-01,8600.0,8660.0,8460.0,8480.0
2011-03-02,8535.0,8535.0,8390.0,8395.0
2011-03-03,8400.0,8480.0,8270.0,8280.0
2011-03-04,8300.0,8325.0,8075.0,8190.0
2011-03-07,8225.0,8275.0,8155.0,8240.0
2011-03-08,8180.0,8270.0,8120.0,8155.0
2011-03-09,8190.0,8230.0,8160.0,8170.0
2011-03-10,8135.0,8170.0,8050.0,8085.0
2011-03-11,8060.0,8110.0,8030.0,8080.0
2011-03-14,8085.0,8170.0,8030.0,8120.0
2011-03-15,8145.0,8145.0,8055.0,8085.0
2011-03-16,8060.0,8080.0,7880.0,7985.0
2011-03-17,7950.0,7990.0,7910.0,7965.0
2011-03-18,8050.0,8050.0,7990.0,8015.0
2011-03-21,8050.0,8060.0,8005.0,8025.0
2011-03-22,8030.0,8090.0,7990.0,8085.0
2011-03-23,8100.0,8150.0,8085.0,8145.0
