CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,8030.0,8092.0,7990.0,8050.0
2010-01-05,8088.0,8090.0,8020.0,8056.0
2010-01-06,8030.0,8140.0,8016.0,8090.0
2010-01-07,8100.0,8184.0,7774.0,7860.0
2010-01-08,7860.0,7878.0,7652.0,7744.0
2010-01-11,7844.0,7884.0,7794.0,7802.0
2010-01-12,7742.0,7768.0,7694.0,7726.0
2010-01-13,7560.0,7574.0,7450.0,7498.0
2010-01-14,7568.0,7616.0,7540.0,7552.0
2010-01-15,7520.0,7584.0,7466.0,7498.0
2010-01-18,7420.0,7464.0,7382.0,7456.0
2010-01-19,7484.0,7532.0,7448.0,7480.0
2010-01-20,7488.0,7508.0,7350.0,7358.0
2010-01-21,7350.0,7450.0,7306.0,7442.0
2010-01-22,7370.0,7486.0,7288.0,7452.0
2010-01-25,7428.0,7468.0,7410.0,7424.0
2010-01-26,7418.0,7438.0,7330.0,7334.0
2010-01-27,7364.0,7416.0,7336.0,7406.0
2010-01-28,7320.0,7352.0,7270.0,7326.0
2010-01-29,7318.0,7376.0,7270.0,7270.0
2010-02-01,7290.0,7304.0,7178.0,7182.0
2010-02-02,7250.0,7278.0,7154.0,7174.0
2010-02-03,7300.0,7320.0,7244.0,7316.0
2010-02-04,7248.0,7288.0,7218.0,7270.0
2010-02-05,7210.0,7320.0,7210.0,7282.0
2010-02-08,7332.0,7380.0,7332.0,7368.0
2010-02-09,7400.0,7406.0,7358.0,7386.0
2010-02-10,7416.0,7420.0,7334.0,7366.0
2010-02-11,7400.0,7474.0,7396.0,7432.0
2010-02-12,7436.0,7438.0,7362.0,7400.0
2010-02-22,7530.0,7532.0,7450.0,7500.0
2010-02-23,7500.0,7578.0,7490.0,7578.0
2010-02-24,7502.0,7534.0,7488.0,7512.0
2010-02-25,7570.0,7576.0,7438.0,7462.0
2010-02-26,7462.0,7488.0,7424.0,7438.0
2010-03-01,7550.0,7562.0,7480.0,7488.0
2010-03-02,7492.0,7528.0,7466.0,7472.0
2010-03-03,7512.0,7546.0,7494.0,7536.0
2010-03-04,7526.0,7540.0,7450.0,7458.0
2010-03-05,7456.0,7542.0,7424.0,7520.0
2010-03-08,7506.0,7560.0,7498.0,7544.0
2010-03-09,7532.0,7592.0,7512.0,7582.0
2010-03-10,7558.0,7614.0,7550.0,7586.0
2010-03-11,7634.0,7654.0,7492.0,7542.0
2010-03-12,7500.0,7536.0,7474.0,7488.0
2010-03-15,7450.0,7494.0,7436.0,7468.0
2010-03-16,7444.0,7484.0,7424.0,7482.0
2010-03-17,7500.0,7522.0,7482.0,7500.0
