CLOCK,OPEN,HIGH,LOW,CLOSE
2012-05-11,6110.0,6115.0,6000.0,6002.0
2012-05-14,6040.0,6045.0,5960.0,5976.0
2012-05-15,5895.0,5910.0,5711.0,5842.0
2012-05-16,5750.0,5786.0,5643.0,5647.0
2012-05-17,5705.0,5787.0,5691.0,5763.0
2012-05-18,5808.0,5881.0,5768.0,5863.0
2012-05-21,5957.0,5964.0,5903.0,5940.0
2012-05-22,5920.0,5930.0,5882.0,5890.0
2012-05-23,5800.0,5818.0,5759.0,5791.0
2012-05-24,5785.0,5838.0,5766.0,5832.0
2012-05-25,5858.0,5912.0,5804.0,5904.0
2012-05-28,5940.0,5992.0,5916.0,5986.0
2012-05-29,5933.0,5982.0,5922.0,5962.0
2012-05-30,5817.0,5855.0,5798.0,5801.0
2012-05-31,5836.0,5878.0,5826.0,5851.0
2012-06-01,5800.0,5840.0,5771.0,5832.0
2012-06-04,5923.0,5998.0,5901.0,5949.0
2012-06-05,5954.0,5985.0,5921.0,5931.0
2012-06-06,6001.0,6092.0,5991.0,6088.0
2012-06-07,6145.0,6154.0,6110.0,6134.0
2012-06-08,6005.0,6023.0,5905.0,5935.0
2012-06-11,6054.0,6099.0,6031.0,6062.0
2012-06-12,5992.0,6038.0,5978.0,5989.0
2012-06-13,6050.0,6083.0,6040.0,6083.0
2012-06-14,6068.0,6128.0,6061.0,6080.0
2012-06-15,6050.0,6085.0,6032.0,6070.0
2012-06-18,6087.0,6095.0,6003.0,6010.0
2012-06-19,6058.0,6080.0,6045.0,6061.0
2012-06-20,5996.0,6029.0,5990.0,6010.0
2012-06-21,5900.0,5925.0,5893.0,5911.0
2012-06-25,5700.0,5742.0,5691.0,5716.0
2012-06-26,5830.0,5830.0,5783.0,5791.0
2012-06-27,5767.0,5771.0,5725.0,5745.0
2012-06-28,5778.0,5782.0,5733.0,5736.0
2012-06-29,5651.0,5764.0,5632.0,5751.0
2012-07-02,5831.0,5835.0,5785.0,5796.0
2012-07-03,5820.0,5915.0,5810.0,5908.0
2012-07-04,5952.0,5979.0,5932.0,5948.0
2012-07-05,5960.0,5995.0,5944.0,5994.0
2012-07-06,5929.0,5932.0,5864.0,5872.0
2012-07-09,5790.0,5832.0,5782.0,5808.0
2012-07-10,5813.0,5834.0,5795.0,5798.0
2012-07-11,5755.0,5780.0,5750.0,5775.0
2012-07-12,5774.0,5779.0,5728.0,5743.0
2012-07-13,5770.0,5830.0,5764.0,5828.0
2012-07-16,5810.0,5834.0,5787.0,5828.0
2012-07-17,5845.0,5877.0,5812.0,5830.0
2012-07-18,5835.0,5838.0,5780.0,5811.0
2012-07-19,5815.0,5828.0,5797.0,5822.0
2012-07-20,5809.0,5811.0,5787.0,5799.0
2012-07-23,5806.0,5808.0,5755.0,5761.0
2012-07-24,5796.0,5822.0,5792.0,5794.0
2012-07-25,5784.0,5817.0,5740.0,5740.0
2012-07-26,5840.0,5886.0,5820.0,5872.0
2012-07-27,5862.0,5932.0,5862.0,5927.0
2012-07-30,5923.0,5925.0,5887.0,5893.0
2012-07-31,5978.0,6044.0,5972.0,6024.0
2012-08-01,5965.0,5992.0,5949.0,5990.0
2012-08-02,5880.0,5910.0,5880.0,5896.0
2012-08-03,5866.0,5868.0,5842.0,5862.0
2012-08-06,5970.0,5972.0,5941.0,5952.0
2012-08-07,5966.0,5974.0,5956.0,5966.0
2012-08-08,5999.0,5999.0,5953.0,5955.0
2012-08-09,5988.0,6022.0,5980.0,6020.0
2012-08-10,6005.0,6006.0,5961.0,5976.0
2012-08-13,6004.0,6024.0,5986.0,5995.0
2012-08-14,5974.0,5980.0,5944.0,5976.0
2012-08-15,5961.0,5969.0,5950.0,5953.0
2012-08-16,5969.0,5978.0,5945.0,5952.0
2012-08-17,6016.0,6037.0,6003.0,6031.0
2012-08-20,6000.0,6034.0,5996.0,6019.0
2012-08-21,6100.0,6158.0,6094.0,6148.0
2012-08-22,6208.0,6266.0,6202.0,6260.0
2012-08-23,6337.0,6565.0,6333.0,6526.0
2012-08-24,6518.0,6548.0,6459.0,6487.0
2012-08-27,6588.0,6708.0,6585.0,6631.0
2012-08-28,6551.0,6575.0,6516.0,6566.0
2012-08-29,6569.0,6624.0,6560.0,6620.0
2012-08-30,6580.0,6587.0,6525.0,6573.0
2012-08-31,6500.0,6504.0,6463.0,6494.0
2012-09-03,6731.0,6849.0,6730.0,6820.0
2012-09-04,6900.0,6932.0,6837.0,6876.0
2012-09-05,6869.0,6904.0,6855.0,6879.0
2012-09-06,6900.0,7072.0,6889.0,7043.0
2012-09-07,6986.0,7006.0,6802.0,6874.0
2012-09-10,7182.0,7272.0,7175.0,7213.0
2012-09-11,7170.0,7195.0,7115.0,7188.0
2012-09-12,7200.0,7221.0,7166.0,7183.0
2012-09-13,7109.0,7123.0,7051.0,7056.0
2012-09-14,7450.0,7506.0,7356.0,7384.0
2012-09-17,7399.0,7405.0,7342.0,7352.0
2012-09-18,7275.0,7295.0,7220.0,7289.0
2012-09-19,7374.0,7438.0,7300.0,7435.0
2012-09-20,7367.0,7405.0,7283.0,7307.0
2012-09-21,7396.0,7419.0,7364.0,7409.0
2012-09-24,7254.0,7258.0,7098.0,7165.0
2012-09-25,7215.0,7220.0,7123.0,7159.0
2012-09-26,7120.0,7193.0,7118.0,7150.0
2012-09-27,7175.0,7237.0,7168.0,7234.0
2012-09-28,7370.0,7405.0,7310.0,7378.0
2012-10-08,7256.0,7264.0,7035.0,7107.0
2012-10-09,7135.0,7163.0,7098.0,7105.0
2012-10-10,7050.0,7091.0,7022.0,7078.0
2012-10-11,7058.0,7140.0,7047.0,7120.0
2012-10-12,7094.0,7143.0,7065.0,7081.0
2012-10-15,6880.0,6924.0,6865.0,6884.0
2012-10-16,6822.0,6873.0,6807.0,6868.0
2012-10-17,6900.0,6906.0,6860.0,6863.0
2012-10-18,6871.0,6915.0,6839.0,6883.0
2012-10-19,6832.0,6848.0,6758.0,6759.0
2012-10-22,6667.0,6749.0,6663.0,6746.0
2012-10-23,6747.0,6770.0,6704.0,6718.0
2012-10-24,6682.0,6739.0,6668.0,6739.0
2012-10-25,6730.0,6833.0,6713.0,6807.0
2012-10-26,6801.0,6829.0,6639.0,6680.0
2012-10-29,6768.0,6780.0,6717.0,6721.0
2012-10-30,6710.0,6724.0,6670.0,6708.0
2012-10-31,6705.0,6730.0,6682.0,6719.0
2012-11-01,6778.0,6846.0,6755.0,6834.0
2012-11-02,6852.0,6860.0,6703.0,6752.0
2012-11-05,6579.0,6606.0,6495.0,6520.0
2012-11-06,6552.0,6580.0,6536.0,6567.0
2012-11-07,6671.0,6785.0,6648.0,6754.0
2012-11-08,6656.0,6712.0,6655.0,6681.0
2012-11-09,6750.0,6809.0,6746.0,6772.0
2012-11-12,6835.0,6848.0,6765.0,6819.0
2012-11-13,6725.0,6741.0,6688.0,6732.0
2012-11-14,6800.0,6818.0,6767.0,6816.0
2012-11-15,6775.0,6809.0,6766.0,6782.0
2012-11-16,6788.0,6796.0,6702.0,6728.0
2012-11-19,6745.0,6805.0,6741.0,6786.0
2012-11-20,6867.0,6907.0,6853.0,6882.0
2012-11-21,6879.0,6879.0,6816.0,6845.0
2012-11-22,6913.0,6938.0,6884.0,6884.0
2012-11-23,6888.0,6933.0,6855.0,6926.0
2012-11-26,7010.0,7048.0,6985.0,7036.0
2012-11-27,7058.0,7073.0,7020.0,7029.0
2012-11-28,7005.0,7012.0,6932.0,6967.0
2012-11-29,6940.0,6944.0,6875.0,6881.0
2012-11-30,6980.0,6993.0,6943.0,6978.0
2012-12-03,6880.0,6880.0,6804.0,6815.0
2012-12-04,6801.0,6801.0,6695.0,6716.0
2012-12-05,6671.0,6743.0,6661.0,6737.0
2012-12-06,6709.0,6718.0,6625.0,6640.0
2012-12-07,6704.0,6722.0,6671.0,6689.0
2012-12-10,6716.0,6759.0,6714.0,6744.0
2012-12-11,6712.0,6714.0,6671.0,6711.0
2012-12-12,6684.0,6724.0,6677.0,6709.0
2012-12-13,6720.0,6720.0,6584.0,6601.0
2012-12-14,6551.0,6618.0,6542.0,6583.0
2012-12-17,6780.0,6841.0,6732.0,6780.0
2012-12-18,6805.0,6881.0,6804.0,6876.0
2012-12-19,6744.0,6750.0,6692.0,6709.0
2012-12-20,6609.0,6629.0,6563.0,6604.0
2012-12-21,6388.0,6393.0,6308.0,6334.0
2012-12-24,6350.0,6418.0,6335.0,6402.0
2012-12-25,6350.0,6380.0,6302.0,6317.0
2012-12-26,6335.0,6355.0,6313.0,6328.0
2012-12-27,6331.0,6396.0,6318.0,6359.0
2012-12-28,6393.0,6443.0,6392.0,6417.0
2012-12-31,6438.0,6458.0,6381.0,6427.0
2013-01-04,6306.0,6307.0,6193.0,6226.0
2013-01-07,6330.0,6433.0,6321.0,6392.0
2013-01-08,6418.0,6420.0,6358.0,6371.0
2013-01-09,6416.0,6438.0,6402.0,6429.0
2013-01-10,6398.0,6427.0,6378.0,6425.0
2013-01-11,6490.0,6515.0,6458.0,6469.0
2013-01-14,6419.0,6492.0,6409.0,6479.0
2013-01-15,6555.0,6592.0,6506.0,6545.0
2013-01-16,6630.0,6632.0,6585.0,6599.0
2013-01-17,6612.0,6612.0,6555.0,6580.0
2013-01-18,6632.0,6665.0,6619.0,6663.0
2013-01-21,6681.0,6698.0,6648.0,6651.0
2013-01-22,6675.0,6707.0,6665.0,6694.0
2013-01-23,6710.0,6715.0,6675.0,6686.0
2013-01-24,6623.0,6655.0,6588.0,6602.0
2013-01-25,6538.0,6582.0,6534.0,6573.0
2013-01-28,6503.0,6515.0,6483.0,6503.0
2013-01-29,6480.0,6518.0,6466.0,6516.0
2013-01-30,6530.0,6550.0,6530.0,6538.0
2013-01-31,6632.0,6669.0,6625.0,6666.0
2013-02-01,6560.0,6562.0,6530.0,6556.0
2013-02-04,6598.0,6633.0,6581.0,6607.0
2013-02-05,6594.0,6626.0,6583.0,6618.0
2013-02-06,6619.0,6622.0,6585.0,6597.0
2013-02-07,6611.0,6633.0,6596.0,6602.0
2013-02-08,6530.0,6570.0,6500.0,6552.0
2013-02-18,6289.0,6294.0,6242.0,6270.0
2013-02-19,6267.0,6288.0,6260.0,6275.0
2013-02-20,6203.0,6222.0,6180.0,6207.0
2013-02-21,6088.0,6088.0,5952.0,5992.0
2013-02-22,6026.0,6056.0,6018.0,6046.0
2013-02-25,6019.0,6074.0,6000.0,6044.0
2013-02-26,6075.0,6108.0,6036.0,6045.0
2013-02-27,6140.0,6142.0,6096.0,6112.0
2013-02-28,6086.0,6096.0,6075.0,6080.0
2013-03-01,5999.0,6016.0,5964.0,5992.0
2013-03-04,6045.0,6050.0,6003.0,6028.0
2013-03-05,6024.0,6094.0,6015.0,6089.0
2013-03-06,6045.0,6093.0,6045.0,6062.0
2013-03-07,6098.0,6100.0,6058.0,6074.0
2013-03-08,6063.0,6070.0,6025.0,6044.0
2013-03-11,6070.0,6096.0,6058.0,6090.0
2013-03-12,6081.0,6086.0,6045.0,6045.0
2013-03-13,6100.0,6100.0,6071.0,6085.0
2013-03-14,6049.0,6049.0,5940.0,6014.0
2013-03-15,6014.0,6041.0,5991.0,6030.0
2013-03-18,6039.0,6040.0,5933.0,5979.0
2013-03-19,6010.0,6021.0,5990.0,6020.0
2013-03-20,6013.0,6028.0,5985.0,6019.0
2013-03-21,5980.0,6026.0,5971.0,6016.0
2013-03-22,6057.0,6060.0,6032.0,6044.0
2013-03-25,5970.0,6012.0,5964.0,5984.0
2013-03-26,5985.0,5997.0,5962.0,5971.0
2013-03-27,5983.0,5987.0,5836.0,5842.0
2013-03-28,5917.0,5962.0,5908.0,5932.0
2013-03-29,5850.0,5870.0,5791.0,5832.0
2013-04-01,5831.0,5838.0,5730.0,5737.0
2013-04-02,5781.0,5795.0,5741.0,5764.0
2013-04-03,5610.0,5611.0,5538.0,5547.0
2013-04-08,5619.0,5640.0,5591.0,5627.0
2013-04-09,5610.0,5665.0,5609.0,5661.0
2013-04-10,5752.0,5765.0,5730.0,5765.0
2013-04-11,5664.0,5690.0,5644.0,5659.0
2013-04-12,5690.0,5690.0,5662.0,5672.0
2013-04-15,5334.0,5334.0,5334.0,5334.0
2013-04-16,4853.0,4853.0,4853.0,4853.0
2013-04-17,4840.0,4883.0,4725.0,4764.0
2013-04-18,4672.0,4746.0,4526.0,4710.0
2013-04-19,4702.0,4842.0,4686.0,4788.0
2013-04-22,4770.0,4798.0,4724.0,4735.0
2013-04-23,4735.0,4759.0,4551.0,4587.0
2013-04-24,4618.0,4722.0,4579.0,4690.0
2013-04-25,4693.0,4743.0,4664.0,4693.0
2013-04-26,4943.0,5030.0,4873.0,4885.0
2013-05-02,4735.0,4763.0,4682.0,4742.0
2013-05-03,4760.0,4856.0,4749.0,4854.0
2013-05-06,4890.0,4964.0,4820.0,4845.0
2013-05-07,4932.0,4945.0,4789.0,4802.0
2013-05-08,4860.0,4904.0,4832.0,4882.0
2013-05-09,4860.0,4965.0,4858.0,4928.0
2013-05-10,4850.0,4920.0,4830.0,4919.0
2013-05-13,4890.0,4925.0,4840.0,4846.0
2013-05-14,4880.0,4898.0,4846.0,4851.0
2013-05-15,4801.0,4818.0,4693.0,4701.0
2013-05-16,4659.0,4690.0,4624.0,4656.0
2013-05-17,4671.0,4696.0,4625.0,4632.0
2013-05-20,4450.0,4535.0,4383.0,4422.0
2013-05-21,4650.0,4698.0,4581.0,4664.0
2013-05-22,4640.0,4662.0,4602.0,4650.0
2013-05-23,4558.0,4585.0,4515.0,4579.0
2013-05-24,4600.0,4636.0,4568.0,4603.0
2013-05-27,4572.0,4654.0,4560.0,4644.0
2013-05-28,4618.0,4644.0,4605.0,4611.0
2013-05-29,4603.0,4615.0,4542.0,4544.0
2013-05-30,4580.0,4646.0,4570.0,4633.0
2013-05-31,4649.0,4687.0,4641.0,4668.0
2013-06-03,4610.0,4624.0,4580.0,4601.0
2013-06-04,4656.0,4665.0,4617.0,4625.0
2013-06-05,4616.0,4644.0,4592.0,4627.0
2013-06-06,4610.0,4616.0,4570.0,4582.0
2013-06-07,4638.0,4664.0,4625.0,4633.0
2013-06-13,4463.0,4510.0,4460.0,4493.0
2013-06-14,4490.0,4494.0,4452.0,4465.0
2013-06-17,4501.0,4515.0,4491.0,4492.0
2013-06-18,4490.0,4499.0,4462.0,4473.0
2013-06-19,4460.0,4469.0,4421.0,4464.0
2013-06-20,4368.0,4376.0,4228.0,4293.0
2013-06-21,4080.0,4120.0,4080.0,4082.0
2013-06-24,4122.0,4130.0,3984.0,3998.0
2013-06-25,4020.0,4045.0,3981.0,4022.0
2013-06-26,4006.0,4011.0,3797.0,3856.0
2013-06-27,3832.0,3874.0,3795.0,3838.0
2013-06-28,3769.0,3865.0,3710.0,3839.0
2013-07-01,3955.0,4034.0,3926.0,4034.0
2013-07-02,4030.0,4044.0,3990.0,4038.0
2013-07-03,3998.0,4019.0,3971.0,4006.0
2013-07-04,4036.0,4040.0,4005.0,4008.0
2013-07-05,4000.0,4008.0,3892.0,3918.0
2013-07-08,3869.0,3874.0,3812.0,3826.0
2013-07-09,3900.0,3985.0,3872.0,3940.0
2013-07-10,3917.0,3932.0,3866.0,3904.0
2013-07-11,3924.0,4140.0,3890.0,4076.0
2013-07-12,4089.0,4103.0,4019.0,4031.0
2013-07-15,4033.0,4110.0,4030.0,4050.0
2013-07-16,4034.0,4060.0,4006.0,4044.0
2013-07-17,4060.0,4077.0,4032.0,4049.0
2013-07-18,4072.0,4093.0,3914.0,3939.0
2013-07-19,3963.0,3992.0,3912.0,3942.0
2013-07-22,3953.0,4072.0,3945.0,4052.0
2013-07-23,4122.0,4134.0,4079.0,4088.0
2013-07-24,4068.0,4119.0,4065.0,4100.0
2013-07-25,4070.0,4086.0,4040.0,4059.0
2013-07-26,4068.0,4086.0,4051.0,4056.0
2013-07-29,4010.0,4030.0,3953.0,3960.0
2013-07-30,3995.0,3995.0,3947.0,3951.0
2013-07-31,3964.0,4009.0,3935.0,3990.0
2013-08-01,3961.0,3979.0,3911.0,3941.0
2013-08-02,3968.0,3969.0,3869.0,3887.0
2013-08-05,4018.0,4030.0,3972.0,3991.0
2013-08-06,3950.0,3964.0,3927.0,3945.0
2013-08-07,3946.0,3947.0,3892.0,3918.0
2013-08-08,3900.0,4005.0,3897.0,3972.0
2013-08-09,4003.0,4088.0,3991.0,4046.0
2013-08-12,4055.0,4279.0,4047.0,4259.0
2013-08-13,4249.0,4383.0,4249.0,4355.0
2013-08-14,4357.0,4378.0,4300.0,4308.0
2013-08-15,4358.0,4474.0,4326.0,4431.0
2013-08-16,4385.0,4648.0,4376.0,4628.0
2013-08-19,4620.0,4759.0,4610.0,4650.0
2013-08-20,4650.0,4671.0,4455.0,4533.0
2013-08-21,4610.0,4654.0,4555.0,4597.0
2013-08-22,4611.0,4625.0,4528.0,4592.0
2013-08-23,4628.0,4668.0,4591.0,4645.0
2013-08-26,4638.0,4913.0,4635.0,4904.0
2013-08-27,4896.0,4985.0,4851.0,4914.0
2013-08-28,4990.0,5103.0,4971.0,5062.0
2013-08-29,5066.0,5085.0,4736.0,4848.0
2013-08-30,4866.0,4866.0,4736.0,4760.0
2013-09-02,4730.0,4936.0,4685.0,4903.0
2013-09-03,4901.0,4919.0,4846.0,4882.0
2013-09-04,4945.0,4966.0,4796.0,4847.0
2013-09-05,4760.0,4790.0,4672.0,4717.0
2013-09-06,4734.0,4739.0,4662.0,4719.0
2013-09-09,4800.0,4840.0,4782.0,4821.0
2013-09-10,4776.0,4821.0,4703.0,4738.0
2013-09-11,4682.0,4714.0,4606.0,4684.0
2013-09-12,4668.0,4692.0,4604.0,4606.0
2013-09-13,4450.0,4489.0,4382.0,4415.0
