CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,17440.0,17450.0,17185.0,17200.0
2010-01-05,17250.0,17570.0,17240.0,17540.0
2010-01-06,17520.0,18295.0,17520.0,18160.0
2010-01-07,18400.0,18685.0,17200.0,17835.0
2010-01-08,17770.0,17890.0,17320.0,17500.0
2010-01-11,17770.0,18270.0,17750.0,18260.0
2010-01-12,18180.0,18325.0,17960.0,18255.0
2010-01-13,17500.0,17640.0,17250.0,17410.0
2010-01-14,17810.0,17815.0,17550.0,17600.0
2010-01-15,17680.0,17825.0,17465.0,17590.0
2010-01-18,17400.0,17715.0,17350.0,17665.0
2010-01-19,17640.0,17860.0,17610.0,17735.0
2010-01-20,17730.0,17780.0,17405.0,17410.0
2010-01-21,17300.0,17490.0,17290.0,17465.0
2010-01-22,17275.0,17370.0,16930.0,17060.0
2010-01-25,17195.0,17465.0,17110.0,17350.0
2010-01-26,17360.0,17415.0,17100.0,17115.0
2010-01-27,17200.0,17255.0,17090.0,17155.0
2010-01-28,16720.0,16770.0,16405.0,16460.0
2010-01-29,16170.0,16305.0,16020.0,16140.0
2010-02-01,16210.0,16365.0,15935.0,16345.0
2010-02-02,16410.0,16490.0,16245.0,16370.0
2010-02-03,16525.0,16755.0,16420.0,16745.0
2010-02-04,16400.0,16645.0,16300.0,16520.0
2010-02-05,16150.0,16305.0,16130.0,16280.0
2010-02-08,16300.0,16390.0,16200.0,16305.0
2010-02-09,16280.0,16485.0,16235.0,16465.0
2010-02-10,16610.0,16685.0,16520.0,16620.0
2010-02-11,16600.0,16795.0,16595.0,16640.0
2010-02-12,16690.0,16930.0,16600.0,16825.0
2010-02-22,17485.0,17485.0,16900.0,16980.0
2010-02-23,16995.0,17085.0,16940.0,17015.0
2010-02-24,16800.0,16925.0,16780.0,16830.0
2010-02-25,16850.0,16970.0,16790.0,16840.0
2010-02-26,16740.0,16840.0,16710.0,16730.0
2010-03-01,16990.0,17070.0,16785.0,16845.0
2010-03-02,16840.0,16840.0,16545.0,16550.0
2010-03-03,16810.0,16910.0,16805.0,16825.0
2010-03-04,16930.0,16945.0,16770.0,16820.0
2010-03-05,16860.0,16920.0,16820.0,16890.0
2010-03-08,16940.0,17135.0,16905.0,17075.0
2010-03-09,17010.0,17010.0,16895.0,16935.0
2010-03-10,16995.0,17120.0,16965.0,17065.0
2010-03-11,16980.0,16990.0,16865.0,16905.0
2010-03-12,16960.0,16965.0,16835.0,16915.0
2010-03-15,16950.0,16960.0,16640.0,16670.0
2010-03-16,16620.0,16720.0,16515.0,16695.0
2010-03-17,16770.0,16855.0,16675.0,16820.0
2010-03-18,16850.0,16885.0,16620.0,16675.0
2010-03-19,16700.0,16950.0,16660.0,16850.0
2010-03-22,16720.0,16815.0,16680.0,16685.0
2010-03-23,16740.0,16780.0,16550.0,16610.0
2010-03-24,16610.0,16740.0,16465.0,16525.0
2010-03-25,16450.0,16525.0,16320.0,16380.0
2010-03-26,16420.0,16595.0,16355.0,16560.0
2010-03-29,16600.0,16650.0,16570.0,16625.0
2010-03-30,16700.0,16710.0,16600.0,16660.0
2010-03-31,16690.0,16690.0,16505.0,16575.0
2010-04-01,16645.0,16750.0,16600.0,16650.0
2010-04-02,16700.0,16750.0,16650.0,16710.0
2010-04-06,16730.0,16870.0,16725.0,16815.0
2010-04-07,16815.0,16850.0,16715.0,16785.0
2010-04-08,16930.0,16930.0,16770.0,16790.0
2010-04-09,16850.0,16895.0,16820.0,16875.0
2010-04-12,17005.0,17150.0,16980.0,17085.0
2010-04-13,17020.0,17190.0,16965.0,17045.0
2010-04-14,17190.0,17210.0,17110.0,17120.0
2010-04-15,17185.0,17195.0,17060.0,17090.0
2010-04-16,17135.0,17135.0,17020.0,17030.0
2010-04-19,16860.0,16870.0,16565.0,16570.0
2010-04-20,16650.0,16715.0,16605.0,16695.0
2010-04-21,16685.0,16710.0,16625.0,16690.0
2010-04-22,16565.0,16665.0,16560.0,16620.0
2010-04-23,16575.0,16630.0,16515.0,16550.0
2010-04-26,16640.0,16710.0,16600.0,16610.0
2010-04-27,16590.0,16590.0,16410.0,16445.0
2010-04-28,15740.0,16175.0,15660.0,16080.0
2010-04-29,16150.0,16245.0,16105.0,16130.0
2010-04-30,16250.0,16265.0,16115.0,16210.0
2010-05-04,16170.0,16170.0,16010.0,16085.0
2010-05-05,15845.0,15920.0,15750.0,15910.0
2010-05-06,15900.0,16005.0,15780.0,15800.0
2010-05-07,15700.0,15800.0,15435.0,15475.0
2010-05-10,15675.0,15725.0,15560.0,15720.0
2010-05-11,15740.0,15760.0,15635.0,15670.0
2010-05-12,15645.0,15720.0,15580.0,15600.0
2010-05-13,15675.0,15695.0,15640.0,15690.0
2010-05-14,15680.0,15725.0,15625.0,15650.0
2010-05-17,15520.0,15550.0,14895.0,14990.0
2010-05-18,15170.0,15260.0,14900.0,15225.0
2010-05-19,15050.0,15245.0,14770.0,15160.0
2010-05-20,15185.0,15280.0,15105.0,15195.0
2010-05-21,15075.0,15160.0,14940.0,15100.0
2010-05-24,15265.0,15345.0,15180.0,15315.0
2010-05-25,15205.0,15300.0,15155.0,15175.0
2010-05-26,15250.0,15295.0,15165.0,15245.0
2010-05-27,15185.0,15265.0,15135.0,15260.0
2010-05-28,15325.0,15480.0,15300.0,15375.0
2010-05-31,15300.0,15375.0,15255.0,15290.0
2010-06-01,15280.0,15310.0,15150.0,15155.0
2010-06-02,15115.0,15175.0,14730.0,14935.0
2010-06-03,15005.0,15095.0,14855.0,14955.0
2010-06-04,14850.0,14880.0,14620.0,14750.0
2010-06-07,14030.0,14110.0,14000.0,14000.0
2010-06-08,14070.0,14330.0,14020.0,14305.0
2010-06-09,14350.0,14720.0,14225.0,14720.0
2010-06-10,14620.0,14700.0,14470.0,14515.0
2010-06-11,14630.0,14695.0,14595.0,14685.0
2010-06-17,14860.0,14870.0,14570.0,14580.0
2010-06-18,14580.0,14625.0,14490.0,14535.0
2010-06-21,14645.0,15210.0,14620.0,15005.0
2010-06-22,14800.0,14890.0,14710.0,14775.0
2010-06-23,14710.0,14950.0,14670.0,14820.0
2010-06-24,14840.0,14975.0,14815.0,14885.0
2010-06-25,14890.0,14970.0,14790.0,14830.0
2010-06-28,14900.0,15040.0,14885.0,14915.0
2010-06-29,14915.0,15020.0,14735.0,14780.0
2010-06-30,14615.0,14740.0,14615.0,14690.0
2010-07-01,14615.0,14725.0,14580.0,14605.0
2010-07-02,14610.0,14800.0,14610.0,14775.0
2010-07-05,14750.0,14875.0,14730.0,14810.0
2010-07-06,14765.0,14845.0,14715.0,14810.0
2010-07-07,14900.0,14940.0,14800.0,14820.0
2010-07-08,14935.0,14950.0,14860.0,14895.0
2010-07-09,14900.0,14920.0,14810.0,14885.0
2010-07-12,14880.0,14925.0,14700.0,14815.0
2010-07-13,14825.0,14825.0,14715.0,14730.0
2010-07-14,14800.0,14880.0,14780.0,14810.0
2010-07-15,14800.0,14855.0,14765.0,14810.0
2010-07-16,14850.0,14900.0,14780.0,14900.0
2010-07-19,14880.0,14965.0,14860.0,14910.0
2010-07-20,14925.0,15070.0,14915.0,15030.0
2010-07-21,15030.0,15080.0,14960.0,15015.0
2010-07-22,15025.0,15070.0,15005.0,15045.0
2010-07-23,15155.0,15330.0,15130.0,15275.0
2010-07-26,15270.0,15450.0,15215.0,15400.0
2010-07-27,15385.0,15415.0,15280.0,15300.0
