CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,245.38,247.43,244.58,245.96
2010-01-05,250.0,253.28,249.71,253.23
2010-01-06,251.01,253.14,250.59,251.1
2010-01-07,255.1,255.5,251.2,252.36
2010-01-08,251.22,251.22,249.0,249.56
2010-01-11,257.5,258.44,256.66,256.85
2010-01-12,256.85,257.5,255.38,257.15
2010-01-13,251.0,251.0,249.3,250.72
2010-01-14,254.28,254.38,252.41,252.97
2010-01-15,253.22,253.55,251.81,252.21
2010-01-18,250.5,252.05,249.91,251.81
2010-01-19,252.4,253.0,251.89,252.39
2010-01-20,253.49,253.99,251.2,251.38
2010-01-21,247.5,248.31,246.51,248.3
2010-01-22,243.05,243.99,242.66,243.32
2010-01-25,243.32,245.99,243.0,245.36
2010-01-26,245.77,246.28,242.72,243.1
2010-01-27,244.57,245.15,243.54,243.81
2010-01-28,241.6,241.98,239.6,241.44
2010-01-29,240.01,240.91,239.3,239.36
2010-02-01,240.78,240.8,238.58,239.56
2010-02-02,244.81,245.2,243.96,244.74
2010-02-03,246.87,247.35,245.93,247.24
2010-02-04,245.0,246.06,244.83,245.11
2010-02-05,235.0,235.9,234.88,235.77
2010-02-08,236.5,237.18,236.1,236.86
2010-02-09,236.3,238.88,236.1,238.47
2010-02-10,239.38,239.88,238.85,239.85
2010-02-11,239.5,240.8,239.48,240.3
2010-02-12,242.16,242.5,241.8,242.2
2010-02-22,250.4,251.5,248.33,248.33
2010-02-23,246.5,247.45,245.85,247.22
2010-02-24,245.0,245.46,244.88,245.06
2010-02-25,244.0,244.0,241.76,242.28
2010-02-26,245.16,246.6,244.89,246.4
2010-03-01,248.87,248.87,247.23,247.79
2010-03-02,247.75,248.42,246.77,247.38
2010-03-03,251.1,251.99,250.78,251.9
2010-03-04,252.19,252.24,250.84,251.05
2010-03-05,250.69,251.73,250.41,251.28
2010-03-08,251.06,252.16,250.88,252.01
2010-03-09,248.99,249.19,248.3,248.36
2010-03-10,248.39,249.69,248.36,249.44
2010-03-11,245.95,246.46,245.62,245.93
2010-03-12,246.49,246.83,245.81,246.82
2010-03-15,244.7,244.99,244.26,244.99
2010-03-16,245.41,246.78,245.33,246.34
2010-03-17,249.48,250.18,249.21,250.13
2010-03-18,248.6,248.94,248.27,248.53
2010-03-19,248.79,249.09,248.5,248.71
2010-03-22,244.7,245.49,244.69,244.99
2010-03-23,244.8,245.01,244.42,244.5
2010-03-24,244.5,244.86,243.77,243.9
2010-03-25,241.36,242.0,241.2,241.8
2010-03-26,242.0,243.89,241.89,243.88
2010-03-29,245.3,246.22,244.85,246.01
