CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,4523.0,4610.0,4523.0,4579.0
2010-01-05,4592.0,4606.0,4572.0,4589.0
2010-01-06,4587.0,4635.0,4581.0,4622.0
2010-01-07,4641.0,4650.0,4389.0,4489.0
2010-01-08,4505.0,4510.0,4412.0,4462.0
2010-01-11,4495.0,4518.0,4475.0,4516.0
2010-01-12,4505.0,4528.0,4480.0,4510.0
2010-01-13,4420.0,4460.0,4354.0,4418.0
2010-01-14,4450.0,4464.0,4430.0,4433.0
2010-01-15,4419.0,4436.0,4355.0,4368.0
2010-01-18,4339.0,4399.0,4310.0,4395.0
2010-01-19,4405.0,4418.0,4361.0,4382.0
2010-01-20,4392.0,4394.0,4341.0,4364.0
2010-01-21,4337.0,4366.0,4326.0,4352.0
2010-01-22,4319.0,4335.0,4257.0,4288.0
2010-01-25,4280.0,4295.0,4265.0,4278.0
2010-01-26,4286.0,4290.0,4258.0,4265.0
2010-01-27,4275.0,4327.0,4265.0,4316.0
2010-01-28,4260.0,4319.0,4255.0,4293.0
2010-01-29,4281.0,4315.0,4276.0,4300.0
2010-02-01,4317.0,4334.0,4276.0,4295.0
2010-02-02,4316.0,4323.0,4126.0,4159.0
2010-02-03,4175.0,4188.0,4136.0,4180.0
2010-02-04,4150.0,4158.0,4093.0,4115.0
2010-02-05,4090.0,4110.0,4066.0,4109.0
2010-02-08,4120.0,4139.0,4103.0,4129.0
2010-02-09,4123.0,4166.0,4115.0,4157.0
2010-02-10,4172.0,4219.0,4156.0,4198.0
2010-02-11,4210.0,4236.0,4190.0,4229.0
2010-02-12,4246.0,4299.0,4233.0,4293.0
2010-02-22,4330.0,4376.0,4229.0,4243.0
2010-02-23,4240.0,4297.0,4220.0,4283.0
2010-02-24,4261.0,4281.0,4233.0,4253.0
2010-02-25,4258.0,4263.0,4191.0,4209.0
2010-02-26,4208.0,4219.0,4175.0,4214.0
2010-03-01,4233.0,4256.0,4190.0,4209.0
2010-03-02,4202.0,4208.0,4151.0,4155.0
2010-03-03,4173.0,4173.0,4133.0,4143.0
2010-03-04,4150.0,4158.0,4135.0,4141.0
2010-03-05,4140.0,4172.0,4135.0,4168.0
2010-03-08,4171.0,4205.0,4165.0,4189.0
2010-03-09,4615.0,4648.0,4596.0,4636.0
2010-03-10,4642.0,4664.0,4619.0,4649.0
2010-03-11,4657.0,4673.0,4603.0,4652.0
2010-03-12,4669.0,4678.0,4647.0,4658.0
2010-03-15,4661.0,4675.0,4634.0,4660.0
