CLOCK,OPEN,HIGH,LOW,CLOSE
2010-01-04,24595.0,24750.0,24330.0,24350.0
2010-01-05,24545.0,24880.0,24465.0,24705.0
2010-01-06,24680.0,25145.0,24635.0,25050.0
2010-01-07,25465.0,25740.0,24400.0,24855.0
2010-01-08,25030.0,25380.0,24500.0,25355.0
2010-01-11,25760.0,26170.0,25480.0,26040.0
2010-01-12,25980.0,26100.0,25660.0,25860.0
2010-01-13,25100.0,25780.0,24910.0,25305.0
2010-01-14,25890.0,25960.0,25555.0,25680.0
2010-01-15,25500.0,25590.0,24820.0,25050.0
2010-01-18,24790.0,24920.0,24575.0,24740.0
2010-01-19,25005.0,25405.0,24800.0,25360.0
2010-01-20,25540.0,25605.0,25235.0,25270.0
2010-01-21,25170.0,25750.0,24955.0,25730.0
2010-01-22,24915.0,25155.0,24105.0,24475.0
2010-01-25,24350.0,24745.0,24305.0,24590.0
2010-01-26,24895.0,24895.0,24015.0,24065.0
2010-01-27,24095.0,24250.0,23655.0,23780.0
2010-01-28,23355.0,23505.0,22760.0,23165.0
2010-01-29,23165.0,23460.0,22845.0,22985.0
2010-02-01,23115.0,23245.0,22250.0,23000.0
2010-02-02,23450.0,23520.0,22875.0,22955.0
2010-02-03,23245.0,23620.0,23040.0,23525.0
2010-02-04,23060.0,23390.0,22850.0,22980.0
2010-02-05,22110.0,22375.0,22000.0,22030.0
2010-02-08,22300.0,22385.0,21965.0,21980.0
2010-02-09,22000.0,22455.0,21650.0,22380.0
2010-02-10,22660.0,23280.0,22555.0,23280.0
2010-02-11,23495.0,23955.0,23270.0,23850.0
2010-02-12,24070.0,24370.0,23825.0,24330.0
2010-02-22,25075.0,25380.0,24660.0,24885.0
2010-02-23,24680.0,25135.0,24565.0,25105.0
2010-02-24,24870.0,25285.0,24770.0,25145.0
2010-02-25,25155.0,25450.0,24635.0,24680.0
2010-02-26,24795.0,25020.0,24685.0,24835.0
2010-03-01,25300.0,25580.0,24630.0,24680.0
2010-03-02,24860.0,24890.0,24060.0,24095.0
2010-03-03,24275.0,24440.0,24135.0,24280.0
2010-03-04,24400.0,24510.0,23675.0,23725.0
2010-03-05,23790.0,24210.0,23650.0,24020.0
2010-03-08,24250.0,24835.0,24015.0,24800.0
2010-03-09,24655.0,24740.0,24370.0,24530.0
2010-03-10,24310.0,24690.0,24290.0,24555.0
2010-03-11,24585.0,24680.0,23880.0,24090.0
2010-03-12,24210.0,24290.0,23560.0,23730.0
2010-03-15,23730.0,23750.0,22770.0,22890.0
2010-03-16,22640.0,23420.0,22525.0,23310.0
2010-03-17,23510.0,23900.0,23250.0,23880.0
2010-03-18,23710.0,24265.0,23580.0,23660.0
2010-03-19,23700.0,24310.0,23665.0,24200.0
2010-03-22,24010.0,24175.0,23830.0,24005.0
2010-03-23,24060.0,24150.0,23505.0,23560.0
2010-03-24,23640.0,23935.0,23340.0,23750.0
2010-03-25,23820.0,24780.0,23785.0,24675.0
2010-03-26,24900.0,25025.0,24565.0,24855.0
2010-03-29,25080.0,25185.0,24900.0,24955.0
2010-03-30,24980.0,25170.0,24740.0,24915.0
2010-03-31,25000.0,25090.0,24430.0,24515.0
2010-04-01,24615.0,24800.0,24485.0,24580.0
2010-04-02,24780.0,25075.0,24610.0,24780.0
2010-04-06,25080.0,26010.0,24865.0,25390.0
2010-04-07,25480.0,25615.0,25335.0,25505.0
2010-04-08,25400.0,25470.0,25045.0,25050.0
2010-04-09,25200.0,25340.0,25105.0,25270.0
2010-04-12,25550.0,25835.0,25400.0,25485.0
2010-04-13,25400.0,25575.0,25205.0,25390.0
2010-04-14,25500.0,25715.0,25465.0,25595.0
2010-04-15,25900.0,25900.0,25615.0,25625.0
2010-04-16,25700.0,25750.0,25180.0,25325.0
2010-04-19,24730.0,24790.0,24200.0,24325.0
2010-04-20,24620.0,24765.0,24505.0,24735.0
2010-04-21,24745.0,24850.0,24555.0,24595.0
2010-04-22,24300.0,24400.0,24085.0,24350.0
2010-04-23,24340.0,24485.0,24260.0,24315.0
2010-04-26,24615.0,24680.0,24385.0,24505.0
2010-04-27,24335.0,24340.0,23735.0,23865.0
2010-04-28,23005.0,23600.0,23005.0,23500.0
2010-04-29,23650.0,23660.0,23350.0,23430.0
2010-04-30,23500.0,23655.0,22825.0,23525.0
2010-05-04,23420.0,23480.0,23165.0,23265.0
2010-05-05,22700.0,22985.0,22610.0,22905.0
2010-05-06,22905.0,23055.0,22585.0,22670.0
2010-05-07,22300.0,22450.0,22000.0,22140.0
2010-05-10,22490.0,22590.0,22235.0,22570.0
2010-05-11,22560.0,22670.0,21910.0,22000.0
2010-05-12,21910.0,22455.0,21890.0,22285.0
2010-05-13,22390.0,22485.0,22180.0,22435.0
2010-05-14,22240.0,22280.0,21725.0,21745.0
2010-05-17,21450.0,21590.0,20890.0,21075.0
2010-05-18,21245.0,21865.0,21065.0,21825.0
2010-05-19,21420.0,22150.0,21290.0,21855.0
