CLOCK,OPEN,HIGH,LOW,CLOSE
2015-03-30,119270.0,119530.0,115600.0,118080.0
2015-03-31,117650.0,119800.0,115960.0,118160.0
2015-04-01,118020.0,118880.0,117070.0,117910.0
2015-04-02,117970.0,119080.0,117970.0,118620.0
2015-04-03,118810.0,119470.0,118560.0,118850.0
2015-04-07,118890.0,119090.0,118270.0,118860.0
2015-04-08,118710.0,118890.0,117150.0,117870.0
2015-04-09,117570.0,117980.0,116500.0,116790.0
2015-04-10,116500.0,116980.0,115320.0,115990.0
2015-04-13,115960.0,116290.0,115270.0,115940.0
2015-04-14,115550.0,115650.0,112300.0,112300.0
2015-04-15,112400.0,114140.0,112320.0,113850.0
2015-04-16,113200.0,113700.0,111010.0,112880.0
2015-04-17,113010.0,113010.0,109300.0,110000.0
2015-04-20,112000.0,112960.0,111120.0,111440.0
2015-04-21,111840.0,111880.0,111100.0,111550.0
2015-04-22,112190.0,113430.0,112190.0,112940.0
2015-04-23,113400.0,113760.0,112960.0,113300.0
2015-04-24,113350.0,113950.0,112750.0,113940.0
2015-04-27,114400.0,117960.0,114400.0,117960.0
2015-04-28,117970.0,118550.0,116500.0,117400.0
2015-04-29,117140.0,117720.0,115110.0,115370.0
2015-04-30,116000.0,119900.0,115050.0,117640.0
2015-05-04,117360.0,119520.0,117360.0,118800.0
2015-05-05,119000.0,119780.0,118000.0,118680.0
2015-05-06,119650.0,123670.0,119500.0,123400.0
2015-05-07,123300.0,125910.0,121500.0,122030.0
2015-05-08,122700.0,122960.0,120020.0,121360.0
2015-05-11,120890.0,122690.0,120710.0,122400.0
2015-05-12,121100.0,121930.0,119690.0,119970.0
2015-05-13,120800.0,121100.0,120000.0,120700.0
2015-05-14,120700.0,122480.0,117800.0,119500.0
2015-05-15,119190.0,119680.0,118610.0,119100.0
2015-05-18,118690.0,119940.0,118030.0,119250.0
2015-05-19,119520.0,119650.0,118070.0,118140.0
2015-05-20,117690.0,117960.0,114160.0,115850.0
2015-05-21,116350.0,120400.0,115220.0,119190.0
2015-05-22,119500.0,119730.0,116900.0,117980.0
2015-05-25,117170.0,119800.0,116800.0,117590.0
2015-05-26,117600.0,119570.0,117600.0,118270.0
2015-05-27,116760.0,117570.0,116200.0,116560.0
2015-05-28,116010.0,117510.0,115720.0,116960.0
2015-05-29,116900.0,116900.0,115680.0,116160.0
2015-06-01,116090.0,116350.0,115630.0,116120.0
2015-06-02,116120.0,117000.0,115780.0,116520.0
2015-06-03,116740.0,116800.0,115020.0,115680.0
2015-06-04,115330.0,115900.0,114500.0,114800.0
2015-06-05,114640.0,114980.0,114260.0,114260.0
2015-06-08,113990.0,114940.0,113910.0,114700.0
2015-06-09,114710.0,115600.0,114710.0,115080.0
2015-06-10,115340.0,115550.0,114850.0,115440.0
2015-06-11,115490.0,115670.0,115300.0,115420.0
2015-06-12,114420.0,114700.0,113520.0,113700.0
2015-06-15,113410.0,113660.0,112810.0,113160.0
2015-06-16,111720.0,112650.0,111700.0,111780.0
2015-06-17,111990.0,112230.0,111210.0,111730.0
2015-06-18,112290.0,112600.0,111820.0,112510.0
2015-06-19,113010.0,114450.0,112470.0,113770.0
2015-06-23,113360.0,114330.0,113360.0,114100.0
2015-06-24,113540.0,114150.0,112500.0,113180.0
2015-06-25,112820.0,113300.0,109470.0,111460.0
2015-06-26,111280.0,111920.0,109800.0,110540.0
2015-06-29,109100.0,110800.0,108560.0,109720.0
2015-06-30,109000.0,109400.0,105740.0,106000.0
2015-07-01,104010.0,107980.0,104010.0,106700.0
2015-07-02,109800.0,109990.0,108560.0,109700.0
2015-07-03,110370.0,111140.0,109390.0,110000.0
2015-07-06,107960.0,109850.0,106510.0,107090.0
2015-07-07,108500.0,109190.0,106800.0,107080.0
2015-07-08,106000.0,106430.0,103710.0,103710.0
2015-07-09,104670.0,110020.0,104010.0,107800.0
2015-07-10,108200.0,110440.0,106580.0,107840.0
2015-07-13,107750.0,108500.0,106900.0,107530.0
2015-07-14,108000.0,110490.0,108000.0,108800.0
2015-07-15,109030.0,110300.0,108270.0,109690.0
2015-07-16,109880.0,110220.0,108120.0,109350.0
2015-07-17,109520.0,110790.0,109320.0,110490.0
2015-07-20,112400.0,112490.0,111100.0,111530.0
2015-07-21,111860.0,111860.0,110790.0,111000.0
2015-07-22,110780.0,111190.0,108560.0,108800.0
2015-07-23,108250.0,108940.0,108060.0,108940.0
2015-07-24,109200.0,109490.0,108120.0,108210.0
2015-07-27,108280.0,111400.0,107030.0,108170.0
2015-07-28,108400.0,109940.0,107920.0,109820.0
2015-07-29,110980.0,112360.0,110800.0,111770.0
2015-07-30,111260.0,111780.0,110120.0,110180.0
2015-07-31,109600.0,111140.0,109280.0,109960.0
2015-08-03,110440.0,111370.0,108720.0,108720.0
2015-08-04,107800.0,108860.0,107500.0,108750.0
2015-08-05,108900.0,109190.0,106900.0,107490.0
2015-08-06,107500.0,108480.0,106390.0,107350.0
2015-08-07,107600.0,108080.0,106790.0,107410.0
2015-08-10,107100.0,107960.0,106510.0,107810.0
2015-08-11,107400.0,111350.0,107260.0,108490.0
2015-08-12,108100.0,108620.0,107070.0,108400.0
2015-08-13,108620.0,109320.0,107500.0,107790.0
2015-08-14,107620.0,108210.0,107200.0,107200.0
2015-08-17,109200.0,109200.0,107060.0,107390.0
2015-08-18,107330.0,107770.0,106800.0,107160.0
2015-08-19,106710.0,107360.0,106550.0,107280.0
2015-08-20,107560.0,108680.0,106680.0,106940.0
2015-08-21,107100.0,107450.0,105310.0,105380.0
2015-08-24,104000.0,105790.0,101980.0,101980.0
2015-08-25,100050.0,101580.0,100010.0,100760.0
2015-08-26,100710.0,102040.0,100210.0,100210.0
2015-08-27,99580.0,100460.0,98210.0,100110.0
2015-08-28,100090.0,102980.0,99610.0,101000.0
2015-08-31,101000.0,102090.0,99210.0,99500.0
2015-09-01,100490.0,100500.0,99510.0,99820.0
2015-09-02,100500.0,100580.0,97210.0,99600.0
2015-09-07,100000.0,100000.0,97630.0,100000.0
2015-09-08,98240.0,100150.0,98240.0,100150.0
2015-09-09,101570.0,102200.0,100000.0,100400.0
2015-09-10,100020.0,101000.0,99530.0,101000.0
2015-09-11,101500.0,102990.0,101500.0,101600.0
2015-09-14,103180.0,103760.0,102030.0,102120.0
2015-09-15,102170.0,102520.0,101160.0,101460.0
2015-09-16,102150.0,102400.0,101560.0,102190.0
2015-09-17,102480.0,102480.0,101830.0,101850.0
2015-09-18,101040.0,101800.0,101040.0,101300.0
2015-09-21,101310.0,101310.0,99520.0,100550.0
2015-09-22,100500.0,100500.0,99050.0,99050.0
2015-09-23,99080.0,99080.0,97080.0,98800.0
2015-09-24,98500.0,99570.0,98090.0,98740.0
2015-09-25,99390.0,99690.0,98410.0,98980.0
2015-09-28,99070.0,99070.0,97220.0,97400.0
2015-09-29,97050.0,97520.0,96220.0,97100.0
2015-09-30,97390.0,98080.0,97010.0,97100.0
2015-10-08,97960.0,99990.0,97610.0,98130.0
2015-10-09,98100.0,99280.0,97170.0,99100.0
