role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
a,Shift Supervisor A,Officer,Officer,Officer,Operations Manager,Operations,11-3012.00,Administrative Services Managers
account,Account Manager,Account Manager,Account Manager,Account Manager,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
account analyst,Account Analyst,Billing Specialist,Billing Specialist,Billing Specialist,Billing Specialist,Finance,13-2051.00,Financial and Investment Analysts
account coordinator,Account Coordinator,Account Coordinator,Account Coordinator,Brand Manager,Marketing,Marketing,11-2011.00,Advertising and Promotions Managers
account delivery,Account Delivery Manager,Delivery Project Manager,Service Delivery Manager,Service Delivery Manager,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
account development,Sales Development,Senior Sales Development Representative,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
account officer,Account Officer,Account Officer,Accountant,Accountant,Accountant,Finance,13-2041.00,Credit Analysts
account representative,Account Representative,Account Representative,Inside Sales,Inside Sales,Sales Associate,Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
account sales,Sales Account Manager,Sales Operations,Sales Associate,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
account services,Account Coordinator,Account Coordinator,Account Coordinator,Brand Manager,Marketing,Marketing,11-2011.00,Advertising and Promotions Managers
accountant,Accountant,Accountant,Accountant,Accountant,Accountant,Finance,13-2011.00,Accountants and Auditors
accounting,Accountant,Accountant,Accountant,Accountant,Accountant,Finance,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
accounting analyst,Accounting Analyst,Treasury Specialist,Treasury Specialist,Auditor,Accountant,Finance,13-2051.00,Financial and Investment Analysts
accounting finance,Finance Manager,Accountant,Accountant,Accountant,Accountant,Finance,13-2011.00,Accountants and Auditors
accountmanager,Accountmanager,Accountmanager,Projectmanager,MD,Operations Manager,Operations,11-2022.00,Sales Managers
accounts,Accounts Assistant,Accounts Assistant,Accounts Assistant,Business Support,Client Services,Finance,13-2052.00,Personal Financial Advisors
